assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_percent,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,2002-01-10,4,386,False,True,None,None,8,0.34,221,463981,None,,0,0,2,-2,161.7,233,58,260,11.13,None,,0,2,5.7,5.0,3,1.16,0.05,2.04,0.09,0.89,33.42,1.43,0.04,James,5.0,22,7,24,1.03,0,False,86.3,182,61,77,False,579.4,92,40,,2102,,None,42,646,146,p463981,2,0,None,0,,463981.jpg,3.8,78,28,0,74,0,241,False,0,0.0,,[],Hill,7.4,58,16,False,None,22,0.94,a,39,4,91,2022-01-05,119.0,265,72,110,1442738,0,588407,0,1.2,26.2,Hill,5
0,2001-08-13,0,0,False,True,0,0,0,0,0,436893,None,,0,0,-2,2,0.0,517,190,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Julián,0.0,413,148,0,0,0,False,0.0,539,191,78,False,0.0,536,191,,0,has joined Celtic on loan for the rest of the season.,2026-01-02T18:38:26.036808Z,38,810,242,p436893,0,0,None,0,,436893.jpg,0.0,547,191,0,0,0,139,False,0,0,,[],Araujo Zúñiga,0.5,275,103,False,None,0,0,u,0,4,91,2024-08-13,0.0,485,185,0,47440,0,137203,0,0.0,0.0,J.Araujo,0
0,1997-11-05,0,0,False,True,0,0,0,0,0,223911,None,,0,0,0,0,0.0,578,215,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Chris,0.0,475,180,0,0,0,False,0.0,590,216,79,False,0.0,587,216,,0,has joined West Bromwich Albion permanently.,2025-09-02T12:54:34.562307Z,40,688,169,p223911,0,0,None,0,,223911.jpg,0.0,598,216,0,0,0,244,False,0,0,,[],Mepham,0.1,553,197,False,None,0,0,u,0,4,91,2019-01-22,0.0,547,211,0,1400,0,16891,0,0.0,0.0,Mepham,0
0,2005-02-16,0,2,False,True,100,100,0,0.0,0,575901,None,,0,0,-1,1,2.5,474,171,1,2.65,None,,0,2,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,1.62,4.29,0.0,Julio,0.0,460,171,2,5.29,0,False,0.6,510,178,80,False,1.8,513,180,,34,,2026-01-22T01:30:06.830891Z,39,797,231,p575901,0,0,None,0,,575901.jpg,1.0,468,169,0,4,0,10,False,0,0.0,,[],Soler Barreto,0.2,388,141,False,None,0,0.0,a,1,4,91,2025-01-07,2.0,455,170,3,18486,0,34789,0,0.0,0.8,Soler,0
0,1999-05-05,3,147,False,True,100,100,4,0.38,9,222683,None,,0,0,-1,1,305.1,145,96,65,6.19,3,,0,3,0.0,0.2,1,1.55,0.15,3.86,0.37,2.31,17.96,1.71,0.22,Justin,0.2,398,182,19,1.81,2,False,58.8,272,137,81,False,148.0,348,157,,945,,2026-01-06T12:00:09.646560Z,69,39,24,p222683,0,0,1,0,,222683.jpg,2.0,358,153,0,46,0,152,False,0,0.0,,[],Kluivert,0.6,245,86,False,None,10,0.95,a,10,4,91,2023-07-01,135.0,246,137,41,197524,0,254152,0,0.0,5.9,Kluivert,5
4,1999-03-22,14,552,False,True,100,100,11,0.36,62,201658,2,,0,0,-2,2,816.6,15,14,251,8.27,2,,3,3,2.3,4.2,10,4.60,0.15,13.66,0.45,9.06,41.06,1.35,0.3,Marcus,4.2,63,26,44,1.45,7,False,207.9,20,15,84,False,656.8,65,18,,2732,,2026-01-20T00:30:08.247682Z,53,183,116,p201658,0,0,4,0,,201658.jpg,4.0,59,27,0,150,0,241,False,0,0.0,,[],Tavernier,4.2,88,29,False,None,31,1.02,a,39,4,91,2022-08-01,605.0,34,18,137,1646857,0,1190309,0,0.8,25.8,Tavernier,6
2,1999-02-14,3,346,False,True,100,100,7,0.36,83,200785,None,,0,0,-1,1,158.2,243,154,232,11.8,None,,0,3,2.3,2.8,4,0.63,0.03,1.26,0.06,0.63,27.18,1.38,0.03,Tyler,2.8,130,58,28,1.42,2,False,66.3,248,122,85,False,387.0,189,74,,1769,,2026-03-15T12:30:09.989744Z,49,296,184,p200785,0,0,None,0,,200785.jpg,3.1,180,71,0,96,0,229,False,0,0.0,,[],Adams,0.3,344,119,False,None,21,1.07,a,53,4,91,2023-08-20,115.0,272,147,77,83628,0,96729,0,0.6,15.7,Adams,8
3,1997-07-08,4,215,False,True,100,100,5,0.38,19,111317,5,,0,0,0,0,384.5,101,72,94,7.12,4,,1,3,2.0,1.5,0,3.40,0.26,9.21,0.7,5.81,20.25,1.53,0.44,David,1.5,225,98,20,1.52,1,False,104.1,139,76,86,False,236.2,285,120,,1188,,2026-01-15T19:30:09.403523Z,50,246,147,p111317,0,0,None,0,,111317.jpg,1.9,362,154,0,56,0,244,False,0,0.0,,[],Brooks,0.2,401,136,False,None,13,0.98,a,19,4,91,2018-07-01,434.0,66,39,59,76261,0,81566,0,0.3,11.8,Brooks,7
1,1995-02-22,2,214,False,True,0,0,3,0.28,34,158499,6,,0,0,-1,1,197.0,211,139,123,11.32,None,,0,3,0.0,0.0,0,0.79,0.07,2.60,0.24,1.81,19.14,1.76,0.17,Ryan,-0.2,840,379,14,1.29,2,False,64.7,252,125,87,False,226.6,290,123,,978,Suspended until 29 Aug,2026-05-09T20:30:09.034647Z,49,288,178,p158499,0,0,None,0,,158499.jpg,1.8,383,164,0,62,1,243,False,0,0.0,,[],Christie,0.1,486,172,False,None,9,0.83,s,27,4,91,2021-08-31,220.0,165,90,47,32522,0,33634,0,0.0,9.6,Christie,3
1,1997-02-03,0,190,False,True,100,100,1,0.1,56,155408,4,,0,0,-1,1,183.8,222,146,143,14.76,None,,0,3,0.3,0.5,1,0.52,0.05,0.59,0.06,0.07,14.00,1.44,0.01,Lewis,0.5,335,150,19,1.96,0,False,40.6,338,162,88,False,206.8,306,130,,872,,2026-02-23T13:30:09.159271Z,49,287,177,p155408,0,0,None,0,,155408.jpg,2.2,322,136,0,62,1,241,False,0,0.0,,[],Cook,0.0,639,246,False,None,8,0.83,a,25,4,91,2016-07-08,12.0,423,207,40,11970,0,11534,0,0.1,8.2,Cook,1
0,1996-06-11,0,0,False,True,0,0,0,0,0,168991,None,,0,0,-1,1,0.0,786,342,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Philip,0.0,737,308,0,0,0,False,0.0,790,342,89,False,0.0,790,342,,0,has joined Midtjylland permanently.,2025-08-27T12:49:57.472718Z,49,290,180,p168991,0,0,None,0,,168991.jpg,0.0,790,342,0,0,0,58,False,0,0,,[],Billing,0.0,687,274,False,None,0,0,u,0,4,91,2019-07-29,0.0,783,341,0,598,0,6650,0,0.0,0.0,Philip,0
2,2003-08-21,9,603,False,True,100,100,11,0.35,133,503139,3,,0,0,-1,1,482.0,63,51,386,12.2,6,,2,3,3.7,2.8,0,2.94,0.09,6.74,0.21,3.80,47.02,1.49,0.12,Alex,2.8,132,60,41,1.3,3,False,139.0,73,46,90,False,597.2,84,27,,2848,,2025-12-29T19:30:08.900947Z,49,330,203,p503139,0,0,None,0,,503139.jpg,3.7,93,43,0,193,0,241,False,0,0.0,,[],Scott,2.1,136,44,False,None,34,1.07,a,60,4,91,2023-08-10,314.0,105,63,136,642749,0,390181,0,0.6,27.8,Scott,5
0,1999-06-17,0,0,False,True,0,0,0,0,0,224995,None,,0,0,0,0,0.0,805,354,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Luis,0.0,767,327,0,0,0,False,0.0,806,354,91,False,0.0,806,354,,0,has joined Cruzeiro on loan for the rest of the season.,2025-08-26T13:43:19.913048Z,50,253,151,p224995,0,0,None,0,,224995.jpg,0.0,806,354,0,0,0,48,False,0,0,,[],Sinisterra Lucumí,0.0,750,318,False,None,0,0,u,0,4,91,2024-06-14,0.0,802,353,0,396,0,3906,0,0.0,0.0,Sinisterra,0
0,1998-07-14,0,0,False,True,0,0,0,0,0,441240,None,,0,0,0,0,0.0,706,278,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Romain,0.0,637,229,0,0,0,False,0.0,712,278,92,False,0.0,710,276,,0,has joined Auxerre permanently.,2026-02-06T22:47:52.516051Z,45,435,258,p441240,0,0,None,0,,441240.jpg,0.0,716,281,0,0,0,73,False,0,0,,[],Faivre,0.1,566,211,False,None,0,0,u,0,4,91,2023-07-13,0.0,689,272,0,4403,0,19887,0,0.0,0.0,Faivre,0
1,2000-02-16,0,12,False,True,0,0,0,0.0,1,424044,None,,0,0,0,0,10.0,442,215,4,22.5,None,,0,3,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.40,2.25,0.0,Hamed,0.0,634,226,2,11.25,0,False,3.1,479,215,93,False,21.2,463,204,,16,has joined Marseille on loan for the rest of the season.,2025-09-02T12:54:34.582455Z,45,430,255,p424044,0,0,None,0,,424044.jpg,4.0,56,26,0,2,0,54,False,0,0.0,,[],Traorè,0.3,347,120,False,None,0,0.0,u,1,4,91,2023-07-01,0.0,685,269,4,114900,0,166112,0,0.0,0.9,H.Traorè,0
0,2003-09-02,0,0,False,True,0,0,0,0,0,550596,None,,0,0,0,0,0.0,728,299,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Dominic,0.0,661,251,0,0,0,False,0.0,734,299,94,False,0.0,733,298,,0,has joined Novi Pazar on loan for the rest of the season.,2025-09-22T21:51:49.974133Z,45,464,282,p550596,0,0,None,0,,550596.jpg,0.0,738,302,0,0,0,241,False,0,0,,[],Sadi,0.0,653,255,False,None,0,0,u,0,4,91,2022-08-22,0.0,711,293,0,3895,0,8277,0,0.0,0.0,Sadi,0
0,2005-07-09,0,0,False,True,0,0,0,0,0,530121,None,,0,0,-1,1,0.0,681,265,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Zain,0.0,606,212,0,0,0,False,0.0,687,264,95,False,0.0,685,262,,0,has joined Olympiakos permanently.,2025-09-22T21:51:49.994072Z,44,563,339,p530121,0,0,None,0,,530121.jpg,0.0,693,269,0,0,0,241,False,0,0,,[],Silcott-Duberry,0.1,584,218,False,None,0,0,u,0,4,91,2025-01-17,0.0,661,257,0,15405,0,21712,0,0.0,0.0,Silcott-Duberry,0
0,2004-09-04,0,3,False,True,0,0,0,0.0,0,606775,None,,0,0,0,0,0.0,757,322,0,0.0,None,,0,3,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.31,4.65,0.0,Ben,0.0,694,279,2,30.0,0,False,0.0,764,323,96,False,0.0,764,323,,6,has joined Barnet on loan for the rest of the season.,2025-09-02T12:54:34.599400Z,45,502,311,p606775,0,0,None,0,,606775.jpg,1.0,500,225,0,0,0,241,False,0,0.0,,[],Winterburn,0.0,652,254,False,None,0,0.0,u,0,4,91,2024-11-29,0.0,744,319,1,2964,0,10063,0,0.0,0.2,Winterburn,0
7,1999-10-06,6,412,False,True,100,100,11,0.36,42,444102,None,,0,0,-4,4,397.9,91,4,135,4.43,None,,0,4,2.7,2.5,2,1.48,0.05,12.12,0.4,10.64,39.02,1.28,0.35,Francisco Evanilson,2.5,155,24,40,1.31,6,False,155.5,54,11,97,False,350.6,208,19,Evanilson,2741,,2026-02-28T22:00:07.795563Z,66,48,17,p444102,0,0,None,0,,444102.jpg,3.2,174,18,0,80,0,30,False,0,0.0,,[],de Lima Barbosa,2.4,122,19,False,None,32,1.05,a,13,4,91,2024-08-16,809.0,15,8,115,1344382,0,1313666,0,0.4,17.4,Evanilson,2
0,1997-05-10,1,83,False,True,100,100,0,0.0,15,168636,None,,0,0,-1,1,25.0,403,53,23,9.67,1,,0,4,1.0,1.0,1,0.07,0.03,2.07,0.87,2.00,6.16,2.59,0.84,Enes,1.0,289,39,3,1.26,1,False,19.1,398,50,98,False,70.2,414,47,,214,,2026-01-11T18:30:10.266239Z,54,154,39,p168636,0,0,None,0,,168636.jpg,1.2,455,53,0,7,0,219,False,0,0.0,,[],Ünal,0.0,588,80,False,None,0,0.0,a,1,4,91,2024-07-01,104.0,281,51,27,15857,0,13019,0,0.2,5.0,Enes Ünal,1
0,2005-06-21,0,0,False,True,0,0,0,0,0,590760,None,,0,0,-1,1,0.0,691,76,0,0,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Daniel,0.0,618,69,0,0,0,False,0.0,698,77,99,False,0.0,696,77,,0,has joined HNK Rijeka permanently.,2025-09-22T21:19:25.247985Z,44,579,85,p590760,0,0,None,0,,590760.jpg,0.0,702,78,0,0,0,241,False,0,0,,[],Adu-Adjei,0.1,447,63,False,None,0,0,u,0,4,91,2022-12-19,0.0,672,75,0,22144,0,44673,0,0.0,0.0,Adu-Adjei,0
0,2006-06-23,13,480,False,True,100,100,10,0.54,42,560262,None,,0,0,2,-2,306.9,142,13,112,6.06,None,,0,4,5.3,4.5,2,1.51,0.08,9.82,0.53,8.31,25.91,1.4,0.45,Junior,4.5,45,8,21,1.14,13,False,139.9,69,15,100,False,532.2,116,11,,1663,,2026-03-27T12:00:09.305198Z,47,393,65,p560262,0,0,2,0,,560262.jpg,3.4,127,12,0,61,0,73,False,0,0.0,,[],Kroupi,7.6,57,12,False,None,21,1.14,a,9,4,91,2025-02-02,563.0,43,18,113,2414496,0,1611147,0,1.0,24.0,Kroupi.Jr,5
1,2005-11-11,0,33,False,True,100,100,0,0.0,1,496208,None,,0,0,-2,2,17.8,419,206,13,11.14,None,,0,3,0.3,0.5,1,0.13,0.11,0.39,0.33,0.26,4.74,4.06,0.22,Ben,0.5,333,148,1,0.86,0,False,8.9,438,198,391,False,32.4,449,197,,105,,2025-11-20T10:30:09.618152Z,48,370,230,p496208,0,0,None,0,,496208.jpg,1.4,434,189,0,6,0,243,False,0,0.0,,[],Gannon-Doak,0.0,641,248,False,None,0,0.0,a,6,4,91,2025-08-18,39.0,361,184,11,4944,0,8262,0,0.1,2.3,Gannon-Doak,0
0,2001-01-06,2,164,False,True,100,100,4,0.28,97,242882,None,,0,0,-4,4,54.3,362,129,117,8.26,None,,1,2,0.0,0.0,0,0.19,0.01,0.21,0.01,0.02,22.47,1.59,0.0,Bafodé,0.0,541,223,27,1.91,0,False,34.4,354,117,685,False,267.0,267,106,,1275,,2025-09-13T21:30:08.472990Z,41,664,156,p242882,0,0,None,0,,242882.jpg,2.6,255,96,0,48,0,73,False,0,0.0,,[],Diakité,0.3,348,125,False,None,15,1.06,a,20,4,91,2025-08-13,22.0,396,140,46,99992,0,100202,0,0.0,11.2,Diakité,1
0,2006-03-06,0,0,False,True,None,None,0,0,0,606774,None,,0,0,-2,2,0.0,664,254,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Remy,0.0,583,200,0,0,0,False,0.0,670,252,687,False,0.0,668,250,,0,,None,43,626,372,p606774,0,0,None,0,,606774.jpg,0.0,678,259,0,0,0,241,False,0,0,,[],Rees-Dottin,0.2,405,139,False,None,0,0,a,0,4,91,2024-12-28,0.0,641,244,0,28243,0,23995,0,0.0,0.0,Rees-Dottin,0
2,2000-05-10,4,241,False,True,None,None,3,0.25,26,489888,None,,0,0,-1,1,235.9,175,113,123,10.31,None,,0,3,0.7,0.8,1,1.62,0.14,4.22,0.36,2.60,18.22,1.53,0.22,Amine,0.8,314,139,17,1.42,3,False,76.1,215,102,697,False,272.6,266,112,,1074,,None,54,169,105,p489888,0,0,None,0,,489888.jpg,2.2,327,139,0,61,0,145,False,0,0.0,,[],Adli,0.2,374,130,False,None,10,0.84,a,36,4,91,2025-08-21,260.0,136,75,67,120446,0,101352,0,0.1,12.4,Adli,2
2,2005-05-08,2,297,False,True,100,0,6,0.23,80,551483,None,,0,0,0,0,269.3,161,42,148,5.75,None,,0,2,0.0,0.0,0,1.73,0.07,2.82,0.11,1.09,41.11,1.6,0.04,Álex,1.5,222,82,39,1.52,1,False,85.9,185,64,713,False,406.0,180,73,,2315,,2026-05-08T14:00:11.002926Z,45,466,94,p551483,0,0,None,0,,551483.jpg,2.4,290,114,0,135,0,200,False,0,0.0,,[],Jiménez Sánchez,0.1,431,161,False,None,26,1.01,a,68,4,91,2025-09-01,184.0,205,55,74,67165,0,54008,0,0.3,16.4,A.Jimenez,10
0,2007-06-28,0,63,False,True,100,100,1,0.25,34,620487,None,,0,0,-1,1,13.9,426,157,39,9.56,None,,0,2,0.0,0.0,0,0.19,0.05,0.34,0.09,0.15,4.42,1.08,0.04,Veljko,0.0,620,243,6,1.47,0,False,12.2,426,155,721,False,98.4,395,149,,367,,2026-01-06T17:00:10.479922Z,44,581,120,p620487,0,0,None,0,,620487.jpg,2.7,238,93,0,13,0,190,False,0,0.0,,[],Milosavljevic,0.0,646,231,False,None,4,0.98,a,5,4,91,2025-09-01,10.0,426,159,19,6785,0,6263,0,0.0,4.3,Milosavljević,0
0,2008-04-17,0,0,False,True,None,None,0,0,0,678552,None,,0,0,0,0,0.0,774,335,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Malcom,0.0,712,293,0,0,0,False,0.0,781,336,756,False,0.0,781,336,,0,,None,45,525,328,p678552,0,0,None,0,,678552.jpg,0.0,781,336,0,0,0,62,False,0,0,,[],DaCosta,0.0,740,311,False,None,0,0,a,0,4,91,2025-12-01,0.0,762,333,0,2125,0,1465,0,0.0,0.0,DaCosta,0
0,1988-03-17,0,0,False,True,None,None,0,0,0,40383,None,,0,0,0,0,0.0,566,50,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fraser,0.0,464,56,0,0,0,False,0.0,583,66,782,False,0.0,580,66,,0,,None,40,672,39,p40383,0,0,None,0,,40383.jpg,0.0,591,66,0,0,0,241,False,0,0,,[],Forster,0.0,651,81,False,None,0,0,a,0,4,91,2026-01-02,0.0,535,35,0,3840,0,1698,0,0.0,0.0,Forster,0
0,2007-05-31,0,0,False,True,None,None,0,0,0,658013,None,,0,0,0,0,0.0,770,332,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Charlie,0.0,707,289,0,0,0,False,0.0,777,333,799,False,0.0,777,333,,0,,None,45,520,324,p658013,0,0,None,0,,658013.jpg,0.0,777,333,0,0,0,244,False,0,0,,[],Stevens,0.0,776,332,False,None,0,0,a,0,4,91,2025-01-18,0.0,757,329,0,984,0,526,0,0.0,0.0,Stevens,0
0,2005-10-23,0,32,False,True,None,None,0,0.0,8,614574,None,,0,0,-1,1,60.2,355,188,17,11.33,None,,0,3,0.3,0.5,1,0.33,0.22,0.44,0.29,0.11,4.90,3.27,0.07,Alex,0.5,339,153,3,2.0,0,False,9.6,435,196,801,False,18.6,466,206,,135,,None,49,338,210,p614574,0,0,None,0,,614574.jpg,0.9,528,244,0,8,0,98,False,0,0.0,,[],Tóth,0.0,765,325,False,None,2,1.33,a,1,4,91,2026-01-20,18.0,411,202,8,1044,0,687,0,0.1,1.6,Tóth.A,1
0,2001-09-17,0,0,False,True,None,None,0,0,0,436416,None,,0,0,0,0,0.0,583,61,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Christos,0.0,480,64,0,0,0,False,0.0,595,72,806,False,0.0,592,72,,0,,None,40,693,50,p436416,0,0,None,0,,436416.jpg,0.0,603,72,0,0,0,83,False,0,0,,[],Mandas,0.0,754,87,False,None,0,0,a,0,4,91,2026-01-27,0.0,552,46,0,877,0,564,0,0.0,0.0,Mandas,0
2,2006-08-03,3,238,False,True,None,None,6,0.49,28,499604,None,,0,0,-1,1,211.9,193,127,82,6.65,None,,0,3,6.7,5.5,2,1.84,0.15,4.51,0.37,2.67,19.14,1.55,0.22,Rayan Vitor,5.5,15,9,10,0.81,5,False,75.3,217,104,807,False,277.6,260,110,Rayan,1110,,None,54,170,106,p499604,0,0,None,0,,499604.jpg,4.5,30,14,0,43,0,30,False,0,0.0,,[],Simplício Rocha,2.3,132,43,False,None,13,1.05,a,11,4,91,2026-01-27,263.0,134,74,67,594702,0,301140,0,1.0,12.4,Rayan,1
1,1999-12-10,0,39,False,True,100,100,0,0.0,3,200641,None,,0,0,-2,2,32.6,393,198,23,17.54,None,,0,3,0.5,-0.3,1,0.11,0.08,0.82,0.62,0.71,3.02,2.3,0.54,Reiss,0.2,376,168,2,1.53,0,False,10.0,433,194,27,False,42.6,437,191,,118,,2026-03-02T13:30:07.438484Z,48,349,220,p200641,0,0,None,0,,200641.jpg,1.3,447,197,0,16,0,241,False,0,0.0,,[],Nelson,0.1,497,178,False,None,0,0.0,a,4,5,94,2025-09-01,29.0,382,192,13,11237,0,18925,0,0.0,2.7,Nelson,0
8,2002-02-11,16,429,False,True,100,100,6,0.24,76,533463,3,,0,0,-4,4,422.8,77,56,185,7.33,None,,4,3,5.3,5.5,2,4.12,0.16,12.06,0.47,7.94,34.75,1.38,0.31,Dango,6.0,9,5,35,1.39,7,False,162.8,47,33,83,False,509.8,129,43,,2271,,2025-12-13T14:30:10.953675Z,56,132,82,p533463,0,0,None,0,,533463.jpg,4.2,47,21,0,85,0,35,False,0,0.0,,[],Ouattara,1.6,160,54,False,None,25,0.99,a,24,5,94,2025-08-16,702.0,26,11,136,1060175,0,888747,0,1.1,24.3,O.Dango,5
0,1998-11-23,11,570,False,True,100,100,10,0.27,48,200720,None,,0,0,3,-3,23.0,409,5,0,0.0,None,,5,1,3.3,4.3,6,0.22,0.01,0.22,0.01,0.00,53.48,1.45,0.0,Caoimhín,4.8,33,2,49,1.32,0,False,93.8,166,3,101,False,913.8,12,3,,3330,,2025-08-09T14:00:04.798673Z,48,350,12,p200720,0,0,None,3,,200720.jpg,3.9,71,6,0,301,0,104,False,109,2.95,,[],Kelleher,12.0,33,4,False,None,37,1.0,a,1,5,94,2025-06-03,0.0,775,87,143,1717279,0,1447384,0,1.0,29.8,Kelleher,1
0,1999-10-15,0,0,False,True,None,None,0,0,0,235448,None,,0,0,-1,1,0.0,543,37,0,0,None,,0,1,-0.5,-0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Ellery,0.0,440,44,0,0,0,False,0.0,561,54,102,False,0.0,558,54,,0,,None,39,774,81,p235448,0,0,None,0,,235448.jpg,0.0,569,54,0,0,0,241,False,0,0,,[],Balcombe,0.2,358,49,False,None,0,0,a,0,5,94,2016-11-02,0.0,512,22,0,17279,0,26392,0,0.0,0.0,Balcombe,0
0,2003-05-02,0,0,False,True,0,0,0,0,0,503300,None,,0,0,-1,1,0.0,554,44,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Matthew,0.0,451,50,0,0,0,False,0.0,571,60,103,False,0.0,568,60,,0,has joined Shrewsbury Town on loan for the rest of the season.,2026-01-16T15:17:51.432656Z,39,788,88,p503300,0,0,None,0,,503300.jpg,0.0,579,60,0,0,0,241,False,0,0,,[],Cox,0.1,451,66,False,None,0,0,u,0,5,94,2021-10-26,0.0,523,29,0,11791,0,16383,0,0.0,0.0,Cox,0
0,2006-04-21,0,0,False,True,None,None,0,0,0,535017,None,,0,0,-1,1,0.0,557,45,0,0,None,,0,1,-0.5,-0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Julian,0.0,454,51,0,0,0,False,0.0,574,61,104,False,0.0,571,61,,0,,None,39,791,89,p535017,0,0,None,0,,535017.jpg,0.0,582,61,0,0,0,229,False,0,0,,[],Eyestone,0.1,485,69,False,None,0,0,a,0,5,94,2024-08-08,0.0,526,30,0,13518,0,12014,0,0.0,0.0,Eyestone,0
0,2001-10-13,0,1,False,True,None,None,0,0.0,0,507433,None,,0,0,-2,2,0.0,521,23,0,0.0,None,,0,1,-0.5,-0.5,0,0.00,0.0,0.00,0.0,0.00,0.97,0.97,0.0,Hákon Rafn,0.0,418,32,3,3.0,0,False,1.3,501,39,105,False,13.0,473,39,,90,,None,38,818,96,p507433,0,0,None,0,,507433.jpg,1.0,465,39,0,7,0,99,False,1,1.0,,[],Valdimarsson,1.0,201,25,False,None,1,1.0,a,0,5,94,2024-01-26,0.0,489,8,1,105071,0,91216,0,0.0,0.3,Valdimarsson,0
2,2001-04-30,7,450,False,True,None,None,9,0.27,287,432830,None,,0,0,-1,1,143.8,256,66,319,9.66,None,,2,2,2.5,2.7,3,1.71,0.05,3.95,0.12,2.24,47.52,1.44,0.07,Nathan,3.2,102,36,44,1.33,1,False,131.9,83,18,106,False,848.6,22,8,,2971,,None,49,316,51,p432830,1,0,None,0,,432830.jpg,3.7,92,34,0,139,0,104,False,0,0.0,,[],Collins,2.4,124,48,False,None,32,0.97,a,32,5,94,2023-07-04,325.0,100,12,129,746929,0,645720,0,0.7,26.3,Collins,7
4,2001-02-22,5,356,False,True,None,None,9,0.41,51,249231,None,,0,0,-2,2,332.2,123,33,74,3.4,1,,2,2,3.0,4.0,5,2.51,0.12,5.52,0.26,3.01,33.74,1.55,0.14,Keane,4.5,46,18,32,1.47,3,False,106.4,131,39,107,False,378.2,194,80,,1960,,None,48,359,61,p249231,0,0,None,0,,249231.jpg,3.2,165,61,0,96,0,241,False,0,0.0,,[],Lewis-Potter,1.5,166,66,False,None,22,1.01,a,23,5,94,2022-07-12,353.0,88,9,115,529325,0,395674,0,0.9,24.0,Lewis-Potter,1
2,1998-04-17,1,211,False,True,100,100,5,0.25,155,191866,None,,0,0,-1,1,59.1,357,125,192,9.57,None,,0,2,1.0,1.0,0,0.73,0.04,1.42,0.07,0.69,31.51,1.57,0.03,Kristoffer,1.5,220,80,32,1.6,0,False,62.7,258,86,108,False,401.4,182,74,,1805,,2026-01-26T04:00:07.526158Z,44,537,105,p191866,0,0,None,0,,191866.jpg,2.8,217,85,0,59,0,161,False,0,0.0,,[],Ajer,0.2,382,138,False,None,20,1.0,a,37,5,94,2021-07-21,165.0,221,57,76,44558,0,46039,0,0.3,17.3,Ajer,4
