,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Position
559,Andriy Yarmolenko,0,0,2,0,1.3,392,13,0,0,0.2,0.4,2019-08-17T14:00:00Z,13,4,0,0,0,0,2,0,10857,1.0,1.0,0.0,1,-2195,378,2573,60,False,0,2,FWD
560,Andros Townsend,0,0,13,0,3.6,135,18,1,0,3.4,16.4,2019-08-18T13:00:00Z,69,15,0,0,0,0,2,0,224017,0.0,1.0,14.0,2,-6281,17994,24275,60,False,0,2,MID
561,Andre Filipe Tavares Gomes,0,0,12,1,21.9,422,15,0,0,3.5,13.4,2019-08-17T14:00:00Z,90,18,0,0,0,0,2,0,53847,0.0,1.0,0.0,2,-18492,1847,20339,55,True,1,2,MID
562,Andy Carroll,0,0,0,0,0.0,520,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,8836,1.0,3.0,0.0,0,-2509,589,3098,55,False,0,2,FWD
563,Andy King,0,0,0,0,0.0,480,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,38414,1.0,1.0,0.0,0,-3208,4987,8195,45,False,0,2,
564,Andy Lonergan,0,0,0,0,0.0,530,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,16,0,0,0,0,2,0,1840,2.0,1.0,0.0,0,1228,1527,299,45,False,0,2,GK
565,Angelo Ogbonna,0,0,17,0,0.5,377,13,1,0,3.2,31.2,2019-08-17T14:00:00Z,90,4,0,0,0,0,2,0,19822,1.0,1.0,0.0,2,-2064,506,2570,45,False,0,2,DEF
566,Angel Gomes,0,0,0,0,0.0,245,20,0,0,0.0,0.0,2019-08-19T19:00:00Z,0,20,0,0,0,0,2,0,7938,1.0,1.0,0.0,0,-1165,675,1840,50,False,0,2,MID
567,Angus Gunn,0,0,16,0,0.0,319,19,2,0,3.0,30.2,2019-08-17T14:00:00Z,90,10,0,0,0,0,2,4,49588,2.0,1.0,0.0,2,-3047,1311,4358,45,True,0,2,GK
568,Anthony Knockaert,0,0,0,0,0.0,52,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,19,0,0,0,0,2,0,961,1.0,1.0,0.0,0,-279,33,312,55,True,0,2,
569,Anthony Martial,0,0,20,0,3.3,239,20,1,1,7.1,39.0,2019-08-19T19:00:00Z,90,20,0,0,0,0,2,0,619935,1.0,1.0,29.0,7,200074,232598,32524,76,False,0,2,FWD
570,Antonio Rudiger,0,0,0,0,0.0,104,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,7432,1.0,1.0,0.0,0,-685,408,1093,60,True,0,2,DEF
571,Anwar El Ghazi,0,0,3,0,11.1,30,12,2,0,5.5,0.4,2019-08-17T14:00:00Z,74,3,0,0,0,0,2,0,25533,2.0,1.0,43.0,2,2182,5484,3302,55,True,0,2,FWD
572,Arnaut Danjuma Groeneveld,0,0,0,0,0.0,492,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,3378,2.0,1.0,0.0,0,-1404,120,1524,60,False,0,2,FWD
573,Arthur Masuaku,0,0,15,0,2.8,378,13,1,0,2.0,16.8,2019-08-17T14:00:00Z,90,4,0,0,0,0,2,0,23018,1.0,1.0,0.0,1,-2816,498,3314,45,False,1,2,DEF
574,Artur Boruc,0,0,0,0,0.0,73,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,24253,2.0,1.0,0.0,0,-2859,347,3206,45,False,0,2,GK
575,Ashley Barnes,0,0,22,0,3.5,90,11,2,1,12.3,38.0,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,233541,1.0,2.0,81.0,5,105513,129929,24416,65,False,1,2,FWD
576,Ashley Westwood,0,0,9,0,22.6,101,11,2,0,3.9,12.8,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,48808,1.0,2.0,4.0,2,-4427,1859,6286,55,False,0,2,MID
577,Ashley Young,0,0,0,0,0.0,224,20,0,0,0.0,0.0,2019-08-19T19:00:00Z,0,20,0,0,0,0,2,0,24140,1.0,1.0,0.0,0,-4538,847,5385,55,False,0,2,MID
578,Asmir Begovic,0,0,0,0,0.0,72,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,162692,2.0,1.0,0.0,0,-26289,4468,30757,45,False,0,2,
579,Axel Tuanzebe,0,0,0,0,0.0,481,20,0,0,0.0,0.0,2019-08-19T19:00:00Z,0,20,0,0,0,0,2,0,8218,1.0,1.0,0.0,0,-1061,347,1408,45,False,0,2,DEF
580,Aymeric Laporte,0,0,15,0,1.7,202,16,2,0,3.9,20.6,2019-08-17T16:30:00Z,90,17,0,0,0,0,2,0,521926,2.0,2.0,17.0,1,-6254,27334,33588,65,True,0,2,DEF
581,Ayoze Perez,0,0,8,0,10.1,265,14,1,0,5.1,9.4,2019-08-18T15:30:00Z,79,6,0,0,0,0,2,0,922054,1.0,1.0,31.0,2,-64931,33466,98397,65,False,0,2,FWD
582,Bailey Peacock-Farrell,0,0,0,0,0.0,495,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,1,0,0,0,0,2,0,4607,1.0,2.0,0.0,0,-320,110,430,45,False,0,2,GK
583,Bamidele Alli,0,0,0,0,0.0,344,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,11,0,0,0,0,2,0,26235,2.0,2.0,0.0,0,-13699,382,14081,85,False,0,2,MID
584,Benjamin Chilwell,0,0,0,0,0.0,161,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,335869,1.0,1.0,0.0,0,-8749,11672,20421,55,False,0,2,DEF
585,Benjamin Mendy,0,0,0,0,0.0,204,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,17,0,0,0,0,2,0,18410,2.0,2.0,0.0,0,-5081,182,5263,60,True,0,2,DEF
586,Ben Davies,0,0,0,0,0.0,329,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,11,0,0,0,0,2,0,8293,2.0,2.0,0.0,0,-2174,135,2309,55,False,0,2,DEF
587,Ben Foster,0,0,9,0,0.0,366,15,1,0,1.1,10.6,2019-08-17T14:00:00Z,90,8,0,0,0,0,2,1,157064,0.0,1.0,0.0,2,-19986,2285,22271,50,False,0,2,GK
588,Ben Gibson,0,0,0,0,0.0,89,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,1,0,0,0,0,2,0,194021,1.0,2.0,0.0,0,-7029,6819,13848,40,False,0,2,DEF
589,Ben Godfrey,0,0,18,0,0.3,273,17,1,0,1.8,17.8,2019-08-17T14:00:00Z,90,13,0,0,0,0,2,0,14605,1.0,3.0,0.0,2,-1009,626,1635,45,True,0,2,MID
590,Ben Johnson,0,0,0,0,0.0,384,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,4,0,0,0,0,2,0,77251,1.0,1.0,0.0,0,-2257,4421,6678,40,False,0,2,DEF
591,Ben Mee,0,0,10,0,20.6,83,11,2,0,7.3,21.6,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,52788,1.0,2.0,31.0,1,-1351,2351,3702,50,False,0,2,DEF
592,Ben Osborn,0,0,0,0,0.0,472,18,0,0,0.0,0.0,2019-08-18T13:00:00Z,0,7,0,0,0,0,2,0,2794,0.0,1.0,0.0,0,-382,42,424,50,True,0,2,FWD
593,Beram Kayal,0,0,0,0,0.0,56,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,19,0,0,0,0,2,0,5226,1.0,1.0,0.0,0,-1481,72,1553,45,True,0,2,
594,Bernardo Mota Veiga de Carvalho e Silva,0,0,7,0,21.4,218,16,2,0,12.0,7.6,2019-08-17T16:30:00Z,79,17,0,0,0,0,2,0,1276904,2.0,2.0,91.0,2,-301368,27625,328993,80,True,0,2,MID
595,Bernardo Fernandes da Silva Junior,0,0,0,0,0.0,39,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,19,0,0,0,0,2,0,10547,1.0,1.0,0.0,0,-666,300,966,45,True,0,2,MID
596,Bernard Anicio Caldeira Duarte,0,3,38,1,34.9,152,15,0,1,12.9,53.2,2019-08-17T14:00:00Z,90,18,0,0,0,0,2,0,37116,0.0,1.0,41.0,11,1576,6759,5183,65,True,0,2,MID
597,Bernd Leno,0,0,15,0,0.0,14,11,1,0,2.6,26.4,2019-08-17T11:30:00Z,90,5,0,0,0,0,2,3,443302,1.0,2.0,0.0,3,90465,113328,22863,50,True,0,2,GK
598,Billy Sharp,0,0,0,0,0.0,298,18,0,0,0.0,0.0,2019-08-18T13:00:00Z,0,7,0,0,0,0,2,0,89561,0.0,1.0,0.0,0,24468,34382,9914,60,True,0,2,FWD
599,Birkir Bjarnason,0,0,0,0,0.0,33,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,3,0,0,0,0,2,0,6899,2.0,1.0,0.0,0,-2228,125,2353,45,True,0,2,
600,Bjorn Engels,0,0,12,0,0.6,455,12,2,0,2.4,14.2,2019-08-17T14:00:00Z,90,3,0,0,0,0,2,0,8133,2.0,1.0,9.0,1,53,656,603,45,True,0,2,DEF
601,Callum Hudson-Odoi,0,0,0,0,0.0,116,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,9532,1.0,1.0,0.0,0,-2025,546,2571,60,True,0,2,MID
602,Callum Robinson,0,0,-1,0,2.3,453,18,0,0,2.3,0.0,2019-08-18T13:00:00Z,55,7,0,0,0,0,2,0,57700,0.0,1.0,21.0,1,-410,4244,4654,55,True,0,2,FWD
603,Callum Slattery,0,0,0,0,0.0,327,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,12295,2.0,1.0,0.0,0,-211,1003,1214,45,True,0,2,
604,Callum Wilson,1,0,16,0,52.1,67,12,1,0,9.0,11.4,2019-08-17T14:00:00Z,90,2,0,0,0,0,2,0,1054621,2.0,1.0,26.0,5,-79871,34773,114644,80,False,0,2,FWD
605,Calum Chambers,0,0,0,0,0.0,467,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,5,0,0,0,0,2,0,76092,1.0,2.0,0.0,0,15821,22739,6918,45,True,0,2,DEF
606,Caoimhin Kelleher,0,0,0,0,0.0,531,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,16,0,0,0,0,2,0,466,2.0,1.0,0.0,0,245,308,63,45,False,0,2,GK
607,Carlos Sanchez,0,0,3,0,0.1,397,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,7,4,0,0,0,0,2,0,27218,1.0,1.0,0.0,1,786,4219,3433,45,False,0,2,MID
608,Carl Jenkinson,0,0,0,0,0.0,9,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,5,0,0,0,0,2,0,2582,1.0,2.0,0.0,0,-986,37,1023,45,True,0,2,
609,Cenk Tosun,0,0,0,0,0.0,146,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,18,0,0,0,0,2,0,11598,0.0,1.0,0.0,0,-2284,803,3087,60,True,0,2,FWD
610,Charlie Austin,0,0,0,0,0.0,312,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,7058,2.0,1.0,0.0,0,-4205,56,4261,60,True,0,2,
611,Charlie Daniels,0,0,15,0,29.6,60,12,1,0,5.2,22.4,2019-08-17T14:00:00Z,90,2,0,0,0,0,2,0,16309,2.0,1.0,0.0,2,-1534,938,2472,45,False,0,2,DEF
612,Charlie Taylor,0,0,0,0,0.0,87,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,1,0,0,0,0,2,0,76445,1.0,2.0,0.0,0,-16408,359,16767,45,False,0,2,DEF
613,Cheikhou Kouyate,0,0,0,0,0.0,139,18,0,0,0.0,0.0,2019-08-18T13:00:00Z,0,15,0,0,0,0,2,0,10617,0.0,1.0,0.0,0,-1344,516,1860,50,False,0,2,MID
614,Che Adams,0,0,4,0,12.2,437,19,1,0,2.8,0.2,2019-08-17T14:00:00Z,67,10,0,0,0,0,2,0,70309,2.0,1.0,16.0,2,-8706,1924,10630,60,True,0,2,MID
615,Christian Atsu,0,0,0,0,0.0,267,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,7986,1.0,3.0,0.0,0,-1403,578,1981,55,False,0,2,MID
616,Christian Benteke,0,0,11,0,12.3,129,18,1,0,4.5,11.6,2019-08-18T13:00:00Z,90,15,0,0,0,0,2,0,71692,0.0,1.0,21.0,2,897,11131,10234,60,False,0,2,FWD
617,Christian Eriksen,0,0,11,0,13.7,343,16,2,0,2.2,6.6,2019-08-17T16:30:00Z,90,11,0,0,0,0,2,0,349292,2.0,2.0,2.0,2,-69150,13803,82953,90,False,0,2,MID
618,Christian Fuchs,0,0,10,0,22.1,163,14,1,0,4.3,20.2,2019-08-18T15:30:00Z,90,6,0,0,0,0,2,0,24677,1.0,1.0,1.0,2,-2242,843,3085,45,False,0,2,DEF
619,Christian Kabasele,0,0,0,0,0.0,354,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,8,0,0,0,0,2,0,13492,0.0,1.0,0.0,0,-1858,227,2085,45,False,0,2,DEF
620,Christian Pulisic,0,0,3,0,3.5,431,14,1,0,1.4,6.2,2019-08-18T15:30:00Z,70,9,0,0,0,0,2,0,546771,1.0,1.0,4.0,2,-12103,69834,81937,75,True,0,2,MID
621,Christoph Zimmermann,0,0,0,0,0.0,275,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,13,0,0,0,0,2,0,1356,1.0,3.0,0.0,0,-241,27,268,45,True,0,2,DEF
622,Chris Basham,0,0,25,1,10.8,423,18,0,0,4.4,27.6,2019-08-18T13:00:00Z,90,7,0,0,0,0,2,0,9695,0.0,1.0,6.0,6,-340,325,665,45,True,0,2,DEF
623,Chris Mepham,0,0,0,0,0.0,61,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,108632,2.0,1.0,0.0,0,41580,50181,8601,45,False,0,2,DEF
624,Chris Smalling,0,0,0,0,0.0,223,20,0,0,0.0,0.0,2019-08-19T19:00:00Z,0,20,0,0,0,0,2,0,18452,1.0,1.0,0.0,0,-2871,678,3549,55,False,0,2,
625,Chris Wood,0,0,6,0,12.8,91,11,1,0,2.2,1.4,2019-08-17T11:30:00Z,60,1,0,0,0,0,2,0,82910,1.0,2.0,8.0,2,-19415,1717,21132,65,False,0,2,FWD
626,Ciaran Clark,0,0,0,0,0.0,259,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,11813,1.0,3.0,0.0,0,-1027,215,1242,45,False,0,2,DEF
627,Claudio Bravo,0,0,0,0,0.0,213,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,17,0,0,0,0,2,0,20828,2.0,2.0,0.0,0,-3835,1180,5015,50,True,0,2,GK
628,Connor Wickham,0,0,2,0,0.3,130,18,0,0,0.0,0.0,2019-08-18T13:00:00Z,8,15,0,0,0,0,2,0,368135,0.0,1.0,0.0,1,38302,70274,31972,45,False,0,2,FWD
629,Conor Coady,0,0,6,0,0.1,403,20,1,0,1.4,13.8,2019-08-19T19:00:00Z,90,12,0,0,0,0,2,0,98516,1.0,1.0,0.0,2,-1585,3903,5488,50,True,0,2,DEF
630,Conor Hourihane,0,0,0,0,0.0,28,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,3,0,0,0,0,2,0,16676,2.0,1.0,0.0,0,-1000,1208,2208,60,True,0,2,MID
631,Craig Cathcart,0,0,16,0,0.9,358,15,1,0,2.2,21.2,2019-08-17T14:00:00Z,90,8,0,0,0,0,2,0,237626,0.0,1.0,0.0,2,-25517,1424,26941,45,False,0,2,DEF
632,Craig Dawson,0,0,10,0,0.2,439,15,1,0,3.0,22.6,2019-08-17T14:00:00Z,90,8,0,0,0,0,2,0,16862,0.0,1.0,7.0,2,-1755,339,2094,50,False,0,2,DEF
633,Cedric Soares,0,0,0,0,0.0,486,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,17725,2.0,1.0,0.0,0,-2872,380,3252,50,True,0,2,DEF
634,Cesar Azpilicueta,0,0,13,0,30.5,105,14,1,0,5.6,19.8,2019-08-18T15:30:00Z,90,9,0,0,0,0,2,0,468158,1.0,1.0,6.0,2,-45085,11906,56991,60,True,0,2,DEF
635,Dale Stephens,0,0,16,0,2.6,57,13,1,0,4.0,22.6,2019-08-17T14:00:00Z,90,19,0,0,0,0,2,0,231064,1.0,1.0,15.0,2,29557,46998,17441,45,True,0,2,MID
636,Daniel Amartey,0,0,0,0,0.0,178,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,22576,1.0,1.0,0.0,0,109,2357,2248,45,False,0,2,
637,Daniel Ceballos Fernandez,2,3,38,0,48.3,469,11,1,0,11.6,47.8,2019-08-17T11:30:00Z,82,5,0,0,0,0,2,0,224045,1.0,2.0,20.0,11,-10263,21980,32243,55,True,0,2,MID
638,Daniel Drinkwater,0,0,0,0,0.0,120,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,1,0,0,0,0,2,0,143926,1.0,2.0,0.0,0,-9812,11951,21763,45,False,0,2,MID
639,Daniel James,0,0,6,0,6.4,243,20,1,0,2.9,2.8,2019-08-19T19:00:00Z,88,20,0,0,0,0,2,0,171379,1.0,1.0,20.0,1,18587,37336,18749,60,False,1,2,MID
640,Danilo Luiz da Silva,0,0,0,0,0.0,209,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,17,0,0,0,0,2,0,4884,2.0,2.0,0.0,0,-2962,58,3020,50,True,0,2,
641,Danny Ings,0,1,22,0,0.8,313,19,1,1,8.9,29.2,2019-08-17T14:00:00Z,26,10,0,0,0,0,2,0,119615,2.0,1.0,59.0,6,-17541,3638,21179,60,True,0,2,FWD
642,Danny Rose,0,0,8,0,0.3,332,16,2,0,1.9,18.6,2019-08-17T16:30:00Z,90,11,0,0,0,0,2,0,147743,2.0,2.0,0.0,1,-13784,7194,20978,55,False,0,2,DEF
643,Danny Ward,0,0,0,0,0.0,170,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,14278,1.0,1.0,0.0,0,-820,364,1184,45,False,0,2,GK
644,Danny Welbeck,0,0,2,0,0.8,512,15,0,0,0.9,8.4,2019-08-17T14:00:00Z,23,8,0,0,0,0,2,0,8135,0.0,1.0,0.0,1,-2050,608,2658,60,False,0,2,FWD
645,Dan Burn,0,0,9,0,25.3,475,13,1,0,6.0,18.0,2019-08-17T14:00:00Z,90,19,0,0,0,0,2,0,8904,1.0,1.0,17.0,2,1775,2379,604,45,True,0,2,DEF
646,Dan Gosling,0,0,0,0,0.0,81,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,1082,2.0,1.0,0.0,0,-264,16,280,50,False,0,2,MID
647,Daryl Janmaat,0,0,0,0,0.0,359,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,8,0,0,0,0,2,0,32584,0.0,1.0,0.0,0,-4598,361,4959,45,False,0,2,DEF
648,Davide Zappacosta,0,0,0,0,0.0,109,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,31217,1.0,1.0,0.0,0,-3074,1522,4596,45,True,0,2,
649,David Brooks,0,0,0,0,0.0,76,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,16619,2.0,1.0,0.0,0,-7423,129,7552,65,False,0,2,MID
650,David Button,0,0,0,0,0.0,48,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,19,0,0,0,0,2,0,1600184,1.0,1.0,0.0,0,2399,52848,50449,40,True,0,2,GK
651,David de Gea,0,0,11,0,0.0,235,20,1,0,1.3,13.0,2019-08-19T19:00:00Z,90,20,0,0,0,0,2,1,1214601,1.0,1.0,0.0,2,361048,394301,33253,56,False,0,2,GK
652,David Luiz Moreira Marinho,0,0,13,0,4.1,106,11,1,0,3.6,31.8,2019-08-17T11:30:00Z,90,5,0,0,0,0,2,0,526000,1.0,2.0,0.0,1,-54730,16788,71518,60,True,1,2,DEF
653,David McGoldrick,0,0,4,1,2.5,303,18,0,0,6.5,9.6,2019-08-18T13:00:00Z,88,7,0,0,0,0,2,0,15106,0.0,1.0,53.0,2,656,2924,2268,55,True,0,2,FWD
654,David Silva,0,0,2,0,0.6,219,16,0,0,0.1,0.0,2019-08-17T16:30:00Z,12,17,0,0,0,0,2,0,287369,2.0,2.0,0.0,1,-7330,33508,40838,75,True,0,2,MID
655,Davinson Sanchez,0,0,19,0,0.0,333,16,2,0,3.3,33.4,2019-08-17T16:30:00Z,90,11,0,0,0,0,2,0,72851,2.0,2.0,0.0,1,-4978,2534,7512,55,False,0,2,DEF
656,Davy Propper,0,0,5,0,13.1,54,13,1,0,5.0,17.4,2019-08-17T14:00:00Z,90,19,0,0,0,0,2,0,71475,1.0,1.0,19.0,2,44482,56294,11812,50,True,0,2,MID
657,DeAndre Yedlin,0,0,0,0,0.0,253,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,3231,1.0,3.0,0.0,0,-439,80,519,45,False,0,2,DEF
658,Dean Henderson,0,2,29,1,0.0,471,18,0,0,2.2,22.2,2019-08-18T13:00:00Z,90,7,0,0,0,0,2,4,93399,0.0,1.0,0.0,9,2750,7559,4809,45,True,0,2,GK
659,Declan Rice,0,0,9,0,11.9,395,13,1,0,2.1,8.2,2019-08-17T14:00:00Z,90,4,0,0,0,0,2,0,166213,1.0,1.0,1.0,1,-4577,9259,13836,50,False,1,2,MID
660,Dejan Lovren,0,0,0,0,0.0,186,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,16,0,0,0,0,2,0,16605,2.0,1.0,0.0,0,-4349,451,4800,55,False,0,2,DEF
661,Demarai Gray,0,0,0,0,0.0,175,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,34382,1.0,1.0,0.0,0,-5104,1488,6592,55,False,0,2,MID
662,Dennis Praet,0,0,8,0,0.1,517,14,0,0,0.5,5.0,2019-08-18T15:30:00Z,17,6,0,0,0,0,2,0,5572,1.0,1.0,0.0,1,-445,463,908,55,False,0,2,MID
663,Dennis Srbeny,0,0,0,0,0.0,279,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,13,0,0,0,0,2,0,3920,1.0,3.0,0.0,0,-848,283,1131,55,True,0,2,FWD
664,Diego Rico,0,0,0,0,0.0,65,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,365133,2.0,1.0,0.0,0,35828,57292,21464,40,False,0,2,DEF
665,Diogo Jota,0,0,-2,0,13.3,410,20,1,0,2.8,3.0,2019-08-19T19:00:00Z,85,12,0,0,0,0,2,0,730131,1.0,1.0,12.0,2,-67433,28482,95915,65,True,0,2,FWD
666,Divock Origi,0,0,3,0,0.6,188,19,1,0,0.1,0.2,2019-08-17T14:00:00Z,11,16,0,0,0,0,2,0,479825,2.0,1.0,0.0,1,163204,205039,41835,56,False,0,2,FWD
667,Djibril Sidibe,0,0,0,0,0.0,511,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,18,0,0,0,0,2,0,17208,0.0,1.0,0.0,0,-2757,950,3707,55,True,0,2,DEF
668,Domingos Quina,0,0,0,0,0.0,375,15,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,8,0,0,0,0,2,0,6212,0.0,1.0,0.0,0,-602,509,1111,45,False,0,2,MID
669,Dominic Calvert-Lewin,0,0,6,1,0.7,147,15,0,0,0.7,4.4,2019-08-17T14:00:00Z,71,18,0,0,0,0,2,0,111451,0.0,1.0,2.0,2,-3796,11975,15771,60,True,0,2,MID
670,Dominic Solanke,0,0,7,0,10.5,69,12,0,0,1.5,2.8,2019-08-17T14:00:00Z,14,2,0,0,0,0,2,0,33763,2.0,1.0,2.0,1,-3131,3002,6133,55,False,0,2,FWD
671,Douglas Luiz Soares de Paulo,0,2,33,0,13.6,470,12,2,1,7.5,46.0,2019-08-17T14:00:00Z,90,3,0,0,0,0,2,0,41964,2.0,1.0,15.0,9,809,4629,3820,45,True,0,2,MID
672,Dwight McNeil,1,0,18,0,26.8,97,11,2,0,6.3,7.6,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,23267,1.0,2.0,29.0,5,-2455,1080,3535,60,False,0,2,FWD
673,Ederson Santana de Moraes,0,0,14,0,0.0,212,16,2,0,0.5,5.0,2019-08-17T16:30:00Z,90,17,0,0,0,0,2,0,1436012,2.0,2.0,0.0,1,266555,325392,58837,61,True,0,2,GK
674,Edward Nketiah,0,0,0,0,0.0,13,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,5,0,0,0,0,2,0,79691,1.0,2.0,0.0,0,-22923,1085,24008,45,True,0,2,FWD
675,Eldin Jakupovic,0,0,0,0,0.0,169,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,7426,1.0,1.0,0.0,0,-637,115,752,45,False,0,2,
676,Emerson Palmieri dos Santos,0,0,17,0,22.0,107,14,1,0,5.2,27.8,2019-08-18T15:30:00Z,90,9,0,0,0,0,2,0,97486,1.0,1.0,2.0,2,24245,34412,10167,55,True,0,2,DEF
677,Emiliano Buendia,0,0,11,0,62.8,283,17,1,0,8.6,15.2,2019-08-17T14:00:00Z,90,13,0,0,0,0,2,0,52193,1.0,3.0,8.0,2,13260,18170,4910,60,True,0,2,MID
678,Emiliano Martinez,0,0,0,0,0.0,427,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,5,0,0,0,0,2,0,18880,1.0,2.0,0.0,0,-1177,915,2092,45,True,0,2,GK
679,Emil Krafth,0,0,10,0,1.4,519,17,3,0,1.6,10.6,2019-08-17T14:00:00Z,90,14,0,0,0,0,2,0,4093,1.0,3.0,4.0,1,-276,124,400,45,False,0,2,DEF
680,Enda Stevens,0,1,27,1,13.2,291,18,0,0,5.0,16.4,2019-08-18T13:00:00Z,90,7,0,0,0,0,2,0,22171,0.0,1.0,20.0,7,-1365,769,2134,50,True,0,2,DEF
681,Eric Bailly,0,0,0,0,0.0,228,20,0,0,0.0,0.0,2019-08-19T19:00:00Z,0,20,0,0,0,0,2,0,2599,1.0,1.0,0.0,0,-765,85,850,50,False,0,2,DEF
682,Eric Dier,0,0,0,0,0.0,350,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,11,0,0,0,0,2,0,14247,2.0,2.0,0.0,0,-155,1599,1754,50,False,0,2,MID
683,Erik Lamela,1,2,38,0,15.1,346,16,2,1,8.2,57.8,2019-08-17T16:30:00Z,84,11,0,0,0,0,2,0,37111,2.0,2.0,9.0,12,-6339,3143,9482,60,False,0,2,MID
684,Erik Pieters,0,0,18,0,5.3,447,11,2,0,2.3,16.8,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,210815,1.0,2.0,1.0,1,103519,120857,17338,45,False,0,2,DEF
685,Ethan Ampadu,0,0,0,0,0.0,121,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,1650,1.0,1.0,0.0,0,-230,148,378,45,True,0,2,
686,Etienne Capoue,0,0,12,0,2.2,373,15,1,0,1.7,4.6,2019-08-17T14:00:00Z,82,8,0,0,0,0,2,0,59067,0.0,1.0,10.0,1,-2725,3753,6478,50,False,1,2,MID
