name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,GW
Nico O'Reilly,DEF,Man City,6.2,0,0,1,0,11.1,411,0.07,0.20,0.13,0.27,82,0,0,3.7,8.6,2025-10-26T14:00:00Z,29,False,2,0,0,0,0,9,0,135132,0,0,1,17.0,1,40057,45588,5531,49,False,0,1,4,1,3,9
Liam Delap,FWD,Chelsea,0.0,0,0,0,0,0.0,250,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,17,0,0,0,0,9,0,112530,0,2,1,0.0,0,-3460,159,3619,62,True,0,0,0,0,0,9
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,277,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,1,0,0,0,0,9,0,427,0,0,1,0.0,0,-13,0,13,45,False,0,0,0,0,0,9
Benjamin White,DEF,Arsenal,1.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,8,0,0,0,0,9,0,51650,0,0,1,0.0,0,-2023,902,2925,54,True,0,0,0,0,0,9
Miodrag Pivaš,DEF,Newcastle,0.0,0,0,0,0,0.0,483,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,10,0,0,0,0,9,0,27481,0,1,2,0.0,0,-798,326,1124,39,True,0,0,0,0,0,9
Freddie Woodman,GK,Liverpool,0.5,0,0,0,0,0.0,369,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,5,0,0,0,0,9,0,25565,0,2,3,0.0,0,953,2021,1068,39,False,0,0,0,0,0,9
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,14,0,0,0,0,9,0,847,0,2,4,0.0,0,-3,52,55,44,False,0,0,0,0,0,9
Reece James,DEF,Chelsea,7.7,0,0,15,0,31.3,225,0.12,0.12,0.00,1.31,85,2,0,5.2,20.2,2025-10-25T14:00:00Z,90,False,17,0,0,0,0,9,0,931097,1,2,1,0.0,1,379034,389037,10003,55,True,0,0,3,8,3,9
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,70,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,16,0,0,0,0,9,0,9527,0,0,2,0.0,0,-327,0,327,40,True,0,0,0,0,0,9
Chris Wood,FWD,Nott'm Forest,0.5,0,0,0,0,0.0,525,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,4,0,0,0,0,9,0,1010738,0,0,2,0.0,0,-191120,6482,197602,72,False,0,0,0,0,0,9
Rayan Cherki,MID,Man City,1.2,0,0,6,0,15.3,417,0.05,0.12,0.07,0.00,82,0,0,2.2,4.8,2025-10-26T14:00:00Z,14,False,2,0,0,0,0,9,0,249251,0,0,1,2.0,1,1763,7353,5590,63,False,0,0,0,0,0,9
Emiliano Martínez Romero,GK,Aston Villa,3.2,0,1,32,1,0.0,32,0.00,0.00,0.00,1.18,82,0,0,2.7,27.2,2025-10-26T14:00:00Z,90,False,13,0,0,0,0,9,3,245733,1,0,1,0.0,8,-6575,5010,11585,50,True,0,0,0,16,0,9
Josh King,MID,Fulham,2.0,0,0,3,0,0.0,335,0.00,0.00,0.00,0.82,89,1,0,0.4,4.4,2025-10-25T14:00:00Z,14,False,15,0,0,0,0,9,0,493298,0,1,2,0.0,1,1830,40967,39137,45,False,0,0,3,1,2,9
Lewis Dunk,DEF,Brighton,1.0,0,0,1,0,1.3,146,0.01,0.22,0.21,1.29,88,4,0,2.1,12.6,2025-10-25T16:30:00Z,90,False,14,0,0,0,0,9,0,138505,1,2,4,7.0,0,-2538,4691,7229,45,False,0,6,7,11,1,9
Willy Boly,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,514,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,4,0,0,0,0,9,0,58036,0,0,2,0.0,0,-1442,1215,2657,39,False,0,0,0,0,0,9
William Osula,FWD,Newcastle,2.0,1,0,13,0,0.0,500,0.00,0.13,0.13,0.00,89,0,0,1.5,3.0,2025-10-25T14:00:00Z,4,False,10,0,0,0,0,9,0,38978,0,1,2,12.0,4,-2538,1558,4096,55,True,0,0,2,2,0,9
Luca Koleosho,MID,Burnley,0.0,0,0,0,0,0.0,208,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,20,0,0,0,0,9,0,1544,0,3,2,0.0,0,-25,0,25,50,False,0,0,0,0,0,9
Omar Richards,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,512,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,4,0,0,0,0,9,0,2868,0,0,2,0.0,0,-60,0,60,45,False,0,0,0,0,0,9
Anthony Gordon,MID,Newcastle,2.3,0,0,12,0,28.7,485,0.42,0.42,0.00,1.53,89,1,0,4.2,3.4,2025-10-25T14:00:00Z,75,False,10,0,0,0,0,9,0,394871,1,1,2,10.0,2,39131,68618,29487,75,True,0,0,4,4,0,9
Antoni Milambo,MID,Brentford,0.0,0,0,0,0,0.0,122,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,12,0,0,0,0,9,0,4554,0,2,3,0.0,0,-394,29,423,53,True,0,0,0,0,0,9
Martín Zubimendi Ibáñez,MID,Arsenal,4.7,0,0,15,1,15.5,26,0.03,0.03,0.00,0.47,81,0,0,3.4,18.2,2025-10-26T14:00:00Z,90,False,8,0,0,0,0,9,0,485411,1,0,1,0.0,5,-32726,22456,55182,55,True,0,9,15,4,2,9
Jaidon Anthony,MID,Burnley,1.7,0,0,8,0,13.2,200,0.02,0.10,0.08,2.28,90,2,0,4.1,8.8,2025-10-26T14:00:00Z,76,False,20,0,0,0,0,9,0,904008,1,3,2,19.0,2,67937,121896,53959,57,False,0,1,8,5,2,9
Curtis Jones,MID,Liverpool,1.8,0,0,20,0,6.8,388,0.05,0.09,0.04,2.54,84,3,0,3.1,15.4,2025-10-25T19:00:00Z,69,False,5,0,0,0,0,9,0,10329,1,2,3,9.0,2,551,1078,527,54,False,0,1,11,9,1,9
Caoimhín Kelleher,GK,Brentford,3.2,0,0,10,0,0.0,101,0.00,0.00,0.00,2.30,84,2,0,2.0,19.6,2025-10-25T19:00:00Z,90,False,12,0,0,0,0,9,3,977858,1,2,3,0.0,2,-8938,20020,28958,45,True,0,0,0,10,0,9
Bertrand Traoré,MID,Sunderland,2.7,1,0,23,0,15.7,735,0.09,0.21,0.12,0.66,85,1,0,4.5,13.2,2025-10-25T14:00:00Z,64,False,7,0,0,0,0,9,0,3157,1,2,1,16.0,5,60,475,415,55,False,0,3,4,1,0,9
James McAtee,MID,Nott'm Forest,0.0,0,0,0,0,0.0,426,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,4,0,0,0,0,9,0,12330,0,0,2,0.0,0,-608,353,961,52,False,0,0,0,0,0,9
Guglielmo Vicario,GK,Spurs,3.3,0,0,29,1,0.0,565,0.00,0.00,0.00,1.53,86,0,0,1.6,16.0,2025-10-26T16:30:00Z,90,False,9,0,0,0,0,9,2,1334874,1,3,0,0.0,6,-81379,9222,90601,51,False,0,2,0,10,0,9
Jaydee Canvot,DEF,Crystal Palace,-1.0,0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,1,0,0,0,0,9,0,1274,0,0,1,0.0,0,-20,78,98,45,False,0,0,0,0,0,9
Zach Marsh,FWD,Crystal Palace,-1.0,0,0,0,0,0.0,286,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,1,0,0,0,0,9,0,37975,0,0,1,0.0,0,-1469,1705,3174,45,False,0,0,0,0,0,9
Joe Anderson,DEF,Sunderland,0.0,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,7,0,0,0,0,9,0,55611,0,2,1,0.0,0,-1403,1387,2790,39,False,0,0,0,0,0,9
Noussair Mazraoui,DEF,Man Utd,0.0,0,0,0,0,0.0,438,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,6,0,0,0,0,9,0,21651,0,2,4,0.0,0,-353,507,860,49,True,0,0,0,0,0,9
Cristian Romero,DEF,Spurs,0.0,0,0,0,0,0.0,569,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2025-10-26T16:30:00Z,0,False,9,0,0,0,0,9,0,677353,0,3,0,0.0,0,-184015,2268,186283,51,False,0,0,0,0,0,9
Václav Hladký,GK,Burnley,0.0,0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,20,0,0,0,0,9,0,20301,0,3,2,0.0,0,-522,194,716,40,False,0,0,0,0,0,9
Mads Roerslev Rasmussen,DEF,Brentford,0.0,0,0,0,0,0.0,112,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,12,0,0,0,0,9,0,2131,0,2,3,0.0,0,-46,0,46,45,True,0,0,0,0,0,9
Diogo Dalot Teixeira,DEF,Man Utd,4.7,0,0,4,0,15.2,440,0.08,0.11,0.03,1.12,88,2,0,2.6,9.6,2025-10-25T16:30:00Z,90,False,6,0,0,0,0,9,0,123125,1,2,4,1.0,1,8888,11997,3109,44,True,0,2,4,4,2,9
Justin Kluivert,MID,Bournemouth,3.7,0,0,3,1,13.1,81,0.06,0.15,0.09,0.14,83,0,0,2.3,2.4,2025-10-26T14:00:00Z,68,False,16,0,0,0,0,9,0,138752,1,0,2,7.0,2,7916,18748,10832,70,True,1,1,7,6,0,9
Keane Lewis-Potter,DEF,Brentford,0.8,0,0,3,0,28.0,107,0.20,0.20,0.00,0.53,84,1,0,4.3,9.2,2025-10-25T19:00:00Z,11,False,12,0,0,0,0,9,0,41117,0,2,3,6.0,0,-1791,638,2429,49,True,1,2,2,0,0,9
Kristoffer Ajer,DEF,Brentford,3.5,1,0,12,0,0.8,108,0.05,0.11,0.06,1.92,84,2,0,2.3,8.0,2025-10-25T19:00:00Z,90,False,12,0,0,0,0,9,0,18935,1,2,3,14.0,4,-78,688,766,44,True,0,5,7,1,2,9
Georginio Rutter,MID,Brighton,3.3,0,0,8,0,13.7,158,0.07,0.07,0.00,0.86,88,3,0,2.2,4.6,2025-10-25T16:30:00Z,78,False,14,0,0,0,0,9,0,50239,1,2,4,4.0,2,2622,5928,3306,57,False,0,0,1,1,0,9
Hwang Hee-chan,MID,Wolves,0.7,0,0,3,0,11.5,642,0.01,0.01,0.00,0.38,90,1,0,1.4,2.6,2025-10-26T14:00:00Z,22,False,3,0,0,0,0,9,0,15742,0,3,2,0.0,1,-2880,187,3067,59,True,0,0,1,1,0,9
Ashley Phillips,DEF,Spurs,0.0,0,0,0,0,0.0,576,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2025-10-26T16:30:00Z,0,False,9,0,0,0,0,9,0,1696,0,3,0,0.0,0,-29,0,29,40,False,0,0,0,0,0,9
Quilindschy Hartman,DEF,Burnley,5.7,2,0,25,0,23.1,192,0.58,0.59,0.01,2.52,90,2,0,7.2,44.0,2025-10-26T14:00:00Z,90,False,20,0,0,0,0,9,0,83232,1,3,2,5.0,7,6340,12875,6535,40,False,0,6,6,2,0,9
Bruno Guimarães Rodriguez Moura,MID,Newcastle,8.7,0,3,39,0,46.9,488,0.10,0.90,0.80,1.53,89,1,1,11.8,46.0,2025-10-25T14:00:00Z,90,False,10,0,0,0,0,9,0,297031,1,1,2,25.0,10,12428,28822,16394,65,True,0,0,9,6,3,9
Eiran Cashin,DEF,Brighton,0.0,0,0,0,0,0.0,154,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,14,0,0,0,0,9,0,724,0,2,4,0.0,0,-14,0,14,40,False,0,0,0,0,0,9
Nathan Patterson,DEF,Everton,0.0,0,0,0,0,0.0,296,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2025-10-26T16:30:00Z,0,False,18,0,0,0,0,9,0,2250,0,3,0,0.0,0,-179,11,190,44,True,0,0,0,0,0,9
Tolu Arokodare,FWD,Wolves,1.0,0,0,3,0,0.0,720,0.00,0.00,0.00,0.37,90,1,0,0.2,0.0,2025-10-26T14:00:00Z,6,False,3,0,0,0,0,9,0,7444,0,3,2,2.0,1,-969,506,1475,55,True,0,0,0,0,0,9
Andrew Moran,MID,Brighton,0.0,0,0,0,0,0.0,177,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,14,0,0,0,0,9,0,2489,0,2,4,0.0,0,-96,0,96,45,False,0,0,0,0,0,9
Adrien Truffert,DEF,Bournemouth,5.3,0,2,33,1,10.3,74,0.05,0.07,0.02,0.35,83,0,0,3.2,18.8,2025-10-26T14:00:00Z,90,False,16,0,0,0,0,9,0,279343,1,0,2,3.0,10,5076,20949,15873,45,True,0,8,11,8,3,9
Enes Ünal,FWD,Bournemouth,0.2,0,0,3,0,0.0,98,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,1,False,16,0,0,0,0,9,0,1245,0,0,2,0.0,1,-30,44,74,54,True,0,0,0,0,0,9
Dário Luís Essugo,MID,Chelsea,0.0,0,0,0,0,0.0,247,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,17,0,0,0,0,9,0,7082,0,2,1,0.0,0,1654,2215,561,43,True,0,0,0,0,0,9
Aaron Ramsdale,GK,Newcastle,0.0,0,0,0,0,0.0,674,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,10,0,0,0,0,9,0,74701,0,1,2,0.0,0,-1812,736,2548,48,True,0,0,0,0,0,9
Moisés Caicedo Corozo,MID,Chelsea,4.3,0,0,16,0,26.7,241,0.16,0.20,0.04,1.31,85,2,0,4.6,15.4,2025-10-25T14:00:00Z,90,False,17,0,0,0,0,9,0,2226307,1,2,1,4.0,2,311442,370445,59003,59,True,0,4,9,4,1,9
Taiwo Awoniyi,FWD,Nott'm Forest,0.7,0,0,8,0,3.2,527,0.00,0.11,0.11,0.10,83,0,0,4.6,6.6,2025-10-26T14:00:00Z,45,False,4,0,0,0,0,9,0,46644,0,0,2,36.0,1,-372,2578,2950,52,False,0,0,1,1,0,9
Niall Huggins,DEF,Sunderland,0.0,0,0,0,0,0.0,537,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,7,0,0,0,0,9,0,11303,0,2,1,0.0,0,-423,0,423,40,False,0,0,0,0,0,9
Konstantinos Tsimikas,DEF,Liverpool,0.0,0,0,0,0,0.0,377,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,5,0,0,0,0,9,0,7222,0,2,3,0.0,0,-303,0,303,48,False,0,0,0,0,0,9
Adam Smith,DEF,Bournemouth,0.0,0,0,0,0,0.0,73,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,16,0,0,0,0,9,0,19858,0,0,2,0.0,0,32,502,470,44,True,0,0,0,0,0,9
Tyrone Mings,DEF,Aston Villa,-0.5,0,0,0,0,0.0,40,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,13,0,0,0,0,9,0,118198,0,0,1,0.0,0,-10288,501,10789,45,True,0,0,0,0,0,9
Luke Shaw,DEF,Man Utd,5.7,1,0,31,1,11.4,443,0.00,0.00,0.00,0.56,88,0,0,3.3,21.8,2025-10-25T16:30:00Z,64,False,6,0,0,0,0,9,0,41969,1,2,4,0.0,9,3765,5411,1646,45,True,0,1,2,2,1,9
Aaron Hickey,DEF,Brentford,0.0,0,0,0,0,0.0,116,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,12,0,0,0,0,9,0,41713,0,2,3,0.0,0,-3313,190,3503,40,True,0,0,0,0,0,9
Sékou Koné,MID,Man Utd,0.0,0,0,0,0,0.0,463,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,6,0,0,0,0,9,0,10279,0,2,4,0.0,0,-199,237,436,44,True,0,0,0,0,0,9
Ryan McAidoo,MID,Man City,0.5,0,0,0,0,0.0,742,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,2,0,0,0,0,9,0,759,0,0,1,0.0,0,53,124,71,45,False,0,0,0,0,0,9
Jordan Pickford,GK,Everton,2.0,0,0,-2,0,0.0,287,0.00,0.00,0.00,2.08,86,3,0,0.6,6.4,2025-10-26T16:30:00Z,90,False,18,0,0,0,0,9,1,1228560,1,3,0,0.0,1,-28833,10819,39652,55,True,0,2,0,11,0,9
Enzo Barrenechea,MID,Aston Villa,0.0,0,0,0,0,0.0,56,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,13,0,0,0,0,9,0,49,0,0,1,0.0,0,-2,0,2,50,True,0,0,0,0,0,9
Pau Torres,DEF,Aston Villa,4.2,0,2,35,1,1.3,41,0.01,0.01,0.00,1.18,82,0,0,2.2,20.4,2025-10-26T14:00:00Z,90,False,13,0,0,0,0,9,0,40631,1,0,1,0.0,8,-582,1220,1802,43,True,0,6,6,1,0,9
Bart Verbruggen,GK,Brighton,1.3,0,0,10,0,0.0,139,0.00,0.00,0.00,1.29,88,4,0,3.8,38.0,2025-10-25T16:30:00Z,90,False,14,0,0,0,0,9,5,507542,1,2,4,0.0,1,-16900,7119,24019,44,False,0,0,0,9,0,9
Tariq Lamptey,DEF,Brighton,0.0,0,0,0,0,0.0,150,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,14,0,0,0,0,9,0,13966,0,2,4,0.0,0,-720,0,720,44,False,0,0,0,0,0,9
Ashley Barnes,FWD,Burnley,0.3,0,0,0,0,0.0,218,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,20,0,0,0,0,9,0,164588,0,3,2,0.0,0,-8948,4309,13257,44,False,0,0,0,0,0,9
Travis Patterson,DEF,Aston Villa,-0.5,0,0,0,0,0.0,710,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,13,0,0,0,0,9,0,23539,0,0,1,0.0,0,8459,9523,1064,39,True,0,0,0,0,0,9
Sverre Nypan,MID,Man City,0.0,0,0,0,0,0.0,428,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,2,0,0,0,0,9,0,1596,0,0,1,0.0,0,-24,0,24,50,False,0,0,0,0,0,9
Josh Acheampong,DEF,Chelsea,6.0,0,0,12,0,5.0,233,0.03,0.03,0.00,1.16,85,1,0,2.9,23.6,2025-10-25T14:00:00Z,75,False,17,0,0,0,0,9,0,232609,1,2,1,0.0,2,73380,80194,6814,39,True,0,5,5,1,0,9
Igor Jesus Maciel da Cruz,FWD,Nott'm Forest,1.0,0,0,8,0,12.3,526,0.02,0.02,0.00,0.48,83,2,0,1.8,5.6,2025-10-26T14:00:00Z,45,False,4,0,0,0,0,9,0,79482,1,0,2,0.0,1,-4501,6324,10825,58,False,0,2,3,0,1,9
Illia Zabarnyi,DEF,Bournemouth,0.0,0,0,0,0,0.0,71,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,16,0,0,0,0,9,0,3263,0,0,2,0.0,0,-53,0,53,50,True,0,0,0,0,0,9
Junior Kroupi,FWD,Bournemouth,6.0,0,0,30,1,13.9,100,0.06,0.21,0.15,0.14,83,0,1,6.3,32.4,2025-10-26T14:00:00Z,68,False,16,0,0,0,0,9,0,362815,1,0,2,17.0,6,136515,153019,16504,45,True,0,0,2,2,0,9
Julián Araujo Zúñiga,DEF,Bournemouth,0.0,0,0,0,0,0.0,78,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,16,0,0,0,0,9,0,89538,0,0,2,0.0,0,-2569,1431,4000,39,True,0,0,0,0,0,9
Milos Kerkez,DEF,Liverpool,3.2,0,0,11,0,7.0,371,0.02,0.62,0.60,2.37,84,3,1,8.4,41.8,2025-10-25T19:00:00Z,60,False,5,0,0,0,0,9,0,471954,1,2,3,35.0,6,-32310,4856,37166,58,False,1,3,4,1,1,9
Lamare Bogarde,DEF,Aston Villa,0.2,0,0,0,0,0.0,44,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,13,0,0,0,0,9,0,85115,0,0,1,0.0,0,-3787,2016,5803,40,True,0,0,0,0,0,9
Dermot Mee,GK,Man Utd,0.0,0,0,0,0,0.0,435,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,6,0,0,0,0,9,0,12399,0,2,4,0.0,0,-208,97,305,40,True,0,0,0,0,0,9
Alisson Becker,GK,Liverpool,0.0,0,0,0,0,0.0,366,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,5,0,0,0,0,9,0,798354,0,2,3,0.0,0,-79525,273,79798,54,False,0,0,0,0,0,9
Fabian Schär,DEF,Newcastle,0.3,0,0,8,0,0.3,474,0.01,0.01,0.00,0.18,89,0,0,2.0,19.4,2025-10-25T14:00:00Z,29,False,10,0,0,0,0,9,0,230773,0,1,2,0.0,1,-10547,5342,15889,54,True,0,7,8,2,1,9
Marc Cucurella Saseta,DEF,Chelsea,5.3,0,0,12,0,40.7,224,0.22,0.34,0.12,1.31,85,2,0,6.9,17.0,2025-10-25T14:00:00Z,90,False,17,0,0,0,0,9,0,2799308,1,2,1,11.0,1,92808,134086,41278,61,True,0,2,4,3,2,9
Norberto Murara Neto,GK,Bournemouth,0.0,0,0,0,0,0.0,66,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,16,0,0,0,0,9,0,9340,0,0,2,0.0,0,-347,0,347,45,True,0,0,0,0,0,9
Max Weiß,GK,Burnley,0.0,0,0,0,0,0.0,183,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,20,0,0,0,0,9,0,15076,0,3,2,0.0,0,-370,244,614,44,False,0,0,0,0,0,9
Amad Diallo,MID,Man Utd,3.0,0,0,11,1,5.6,452,0.01,0.01,0.00,0.56,88,0,0,1.6,2.2,2025-10-25T16:30:00Z,69,False,6,0,0,0,0,9,0,153652,1,2,4,8.0,3,10336,16157,5821,63,True,0,1,5,4,0,9
Jorge Cuenca Barreno,DEF,Fulham,1.3,0,0,0,0,0.0,321,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,15,0,0,0,0,9,0,4923,0,1,2,0.0,0,300,445,145,44,False,0,0,0,0,0,9
Oliver Sonne,DEF,Burnley,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,20,0,0,0,0,9,0,17016,0,3,2,0.0,0,-284,329,613,39,False,0,0,0,0,0,9
Edson Álvarez Velázquez,MID,West Ham,0.0,0,0,0,0,0.0,616,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2025-10-24T19:00:00Z,0,False,11,0,0,0,0,9,0,6807,0,1,2,0.0,0,-170,0,170,49,False,0,0,0,0,0,9
Yankuba Minteh,MID,Brighton,3.0,1,0,16,0,12.3,160,0.02,0.05,0.03,1.29,88,4,0,2.7,4.4,2025-10-25T16:30:00Z,90,False,14,0,0,0,0,9,0,425529,1,2,4,10.0,5,-16476,37277,53753,60,False,0,0,5,3,2,9
Eberechi Eze,MID,Arsenal,7.7,0,3,32,1,4.6,266,0.02,0.10,0.08,0.46,81,0,1,6.6,42.6,2025-10-26T14:00:00Z,87,False,8,0,0,0,0,9,0,1643296,1,0,1,19.0,11,-83247,47018,130265,76,True,0,1,4,1,2,9
Lewis Orford,MID,West Ham,0.0,0,0,0,0,0.0,622,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2025-10-24T19:00:00Z,0,False,11,0,0,0,0,9,0,8681,0,1,2,0.0,0,-255,0,255,44,False,0,0,0,0,0,9
Simon Adingra,MID,Sunderland,0.3,0,0,0,0,0.0,543,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,7,0,0,0,0,9,0,72894,0,2,1,0.0,0,-7493,942,8435,52,False,0,0,0,0,0,9
Alexander Isak,FWD,Liverpool,2.1,0,0,0,0,0.0,499,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2025-10-25T19:00:00Z,0,False,5,0,0,0,0,9,0,927958,0,2,3,0.0,0,-341912,17340,359252,105,False,0,0,0,0,0,9
Dominic Solanke-Mitchell,FWD,Spurs,0.0,0,0,0,0,0.0,596,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2025-10-26T16:30:00Z,0,False,9,0,0,0,0,9,0,121148,0,3,0,0.0,0,-3161,134,3295,72,False,0,0,0,0,0,9
Rodrigo Bentancur,MID,Spurs,8.0,1,0,27,1,11.1,585,0.01,0.15,0.14,1.53,86,0,0,4.8,20.8,2025-10-26T16:30:00Z,90,False,9,0,0,0,0,9,0,23711,1,3,0,16.0,8,5497,6413,916,53,False,0,4,12,7,1,9
Patrick Dorgu,DEF,Man Utd,0.3,0,0,-7,0,0.8,441,0.00,0.00,0.00,0.56,88,2,0,0.4,3.4,2025-10-25T16:30:00Z,20,False,6,0,0,0,0,9,0,448500,0,2,4,0.0,-1,-44393,3261,47654,44,True,1,0,2,1,2,9
Ayden Heaven,DEF,Man Utd,1.0,1,0,11,0,10.3,447,0.08,0.08,0.00,0.56,88,2,0,3.7,26.6,2025-10-25T16:30:00Z,25,False,6,0,0,0,0,9,0,122019,0,2,4,0.0,3,-6754,954,7708,39,True,0,2,3,1,1,9
James Tarkowski,DEF,Everton,3.0,0,0,6,0,14.5,291,0.06,0.06,0.00,2.08,86,3,0,3.3,16.0,2025-10-26T16:30:00Z,90,False,18,0,0,0,0,9,0,847135,1,3,0,2.0,1,-41972,13073,55045,55,True,0,6,7,0,1,9
Facundo Buonanotte,MID,Chelsea,0.0,0,0,0,0,0.0,168,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,17,0,0,0,0,9,0,11842,0,2,1,0.0,0,-746,225,971,48,True,0,0,0,0,0,9
Jack Moorhouse,MID,Man Utd,0.0,0,0,0,0,0.0,464,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2025-10-25T16:30:00Z,0,False,6,0,0,0,0,9,0,2615,0,2,4,0.0,0,-89,0,89,45,True,0,0,0,0,0,9
