first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Jose,Fonte,0,0,98,2934,46,128,654.4,221,10,592,100.2,11,0,4,3.2
Maya,Yoshida,1,1,78,2070,32,62.8,532.6,277,8,469,87.5,7,0,2,5.9
Matt,Targett,0,0,12,373,4,87.9,64.6,12,0,80,16.5,1,0,0,0.2
Florin,Gardos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Cédric,Soares,0,3,102,2515,36,648.9,591,155,11,584,139.6,11,0,7,2.7
Cuco,Martina,0,0,31,592,6,114.7,94.2,20,5,140,22.7,3,0,0,0.4
Virgil,van Dijk,1,0,75,1852,23,81.1,546.2,232,14,435,86,7,1,3,5.3
Nathan,Redmond,7,1,126,2898,40,880.3,545.6,1021,13,483,243.8,12,1,2,7.4
Steven,Davis,0,3,77,2643,37,573,437.6,379,0,450,138.9,10,0,3,0.5
James,Ward-Prowse,4,4,92,1883,26,729.1,427.4,448,5,377,160.7,9,0,4,1.4
Harrison,Reed,0,0,3,64,1,1.4,11,0,0,16,1.3,0,0,0,0.1
Dusan,Tadic,3,7,108,2411,29,1144.1,455.4,819,4,376,242,13,0,4,2
Jordy,Clasie,1,1,38,1022,15,129.1,122.4,94,3,157,33.3,2,0,3,0.1
Oriol,Romeu Vidal,1,0,80,3071,42,280.5,585.6,240,4,566,110.7,13,0,11,0.8
Jay,Rodriguez,5,2,73,893,15,132.8,255.2,507,8,170,89.4,3,0,0,0.3
Pierre-Emile,Højbjerg,0,0,38,1300,16,305,222,216,0,232,74.1,6,0,2,1.6
Shane,Long,3,2,57,1262,23,231.6,201.6,584,2,159,100.1,2,0,2,3
Charlie,Austin,6,1,62,934,8,134.3,274.2,573,10,218,97.9,6,0,1,1.8
Shay,Given,0,0,13,450,14,0,144.8,0,3,92,14.4,0,0,1,0.4
Jack,Butland,0,0,20,450,8,0,121.8,0,2,104,12.2,2,0,0,0.9
Jakob,Haugaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Ryan,Shawcross,1,2,94,3150,53,65.3,732.2,395,6,549,119.3,9,0,6,1.7
Marc,Wilson,0,0,0,255,7,34.5,63,5,0,29,10.3,0,0,3,2.3
Geoff,Cameron,0,1,58,1629,25,165,354.4,174,5,340,69.6,6,0,1,0.4
Erik,Pieters,0,2,103,3151,50,353.8,583.2,130,9,614,107.1,10,0,5,6.7
Marc,Muniesa,1,0,34,650,7,59.7,172.4,50,3,153,28.2,3,0,2,0.8
Phil,Bardsley,0,0,27,1168,17,146.7,155,51,0,174,35.4,3,1,4,0.1
Philipp,Wollscheid,0,0,1,180,5,3.4,36.4,10,0,23,5,0,0,1,0.2
Glen,Johnson,0,0,56,1957,34,176.1,350,101,3,376,62.8,6,0,1,0.1
Dionatan do Nascimento,Teixeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Stephen,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,1,4,59,1491,23,477.6,263.4,328,5,218,106.7,6,0,7,0.3
Glenn,Whelan,0,1,62,2276,40,336.6,392.6,41,3,380,77,7,0,5,0.7
Jonathan,Walters,4,3,72,1304,22,198.7,294,487,3,195,98,6,0,1,0.1
Marko,Arnautovic,6,7,117,2713,43,768.7,530.4,861,8,401,216.2,9,1,9,1
Ibrahim,Afellay,0,0,15,384,5,55.2,32,63,0,63,14.8,0,0,0,0
Xherdan,Shaqiri,4,2,80,1699,21,672.9,293.6,453,8,275,141.6,8,0,2,3
Giannelli,Imbula,0,1,24,796,20,111.3,65,44,1,126,22,2,0,1,0.1
Bojan,Krkic,3,0,30,475,12,84.5,125.4,114,4,93,32.1,0,0,1,0.7
Peter,Crouch,7,3,79,1343,23,260.9,346.6,664,7,262,126.8,4,0,3,3.4
Mame Biram,Diouf,1,2,51,1385,26,148.6,198,340,2,190,68.4,5,0,3,0.3
Jose Luis,Mato Sanmartín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Vito,Mannone,0,0,34,810,19,0,247,0,6,187,24.8,2,0,0,0.6
Jordan,Pickford,0,0,102,2610,50,40,933,0,9,608,97.4,4,0,0,11
Younes,Kaboul,2,0,57,1910,36,31.5,443.2,243,1,342,71.8,4,0,2,0.6
John,O'Shea,0,1,47,2158,42,21.3,453.4,98,3,335,57,3,0,5,0.4
Billy,Jones,1,0,56,2270,49,387.5,476.8,270,6,368,113.5,5,0,8,0.1
Patrick,van Aanholt,5,1,98,2498,53,534.2,616,383,9,534,153.5,5,0,3,3.6
Adam,Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamine,Koné,1,0,69,2545,46,35.6,624,339,5,451,100.2,5,0,4,1.7
Jan,Kirchhoff,0,1,12,433,11,30.1,53.6,26,0,61,10.9,0,0,1,0
Lee,Cattermole,0,0,12,633,13,47.3,65,12,0,63,12.6,0,0,4,0.1
Sebastian,Larsson,0,3,40,1468,35,402.5,206,109,0,219,71.4,3,1,4,0
Jack,Rodwell,0,1,38,1492,32,131,235,233,1,200,60,2,0,4,0.6
Jeremain,Lens,0,0,2,69,1,31.3,14.2,52,0,12,9.7,0,0,0,0
Wahbi,Khazri,1,0,31,849,21,332.2,112.2,203,3,96,64.9,1,0,6,0.1
Duncan,Watmore,0,5,43,1025,20,159.7,118.6,241,1,125,51.4,2,0,1,0.1
Fabio,Borini,2,0,49,1742,34,257.3,217,406,3,177,87.4,5,0,5,0.6
Jermain,Defoe,15,3,166,3322,63,274.5,630.4,1379,24,529,227,6,0,1,16.1
Lukasz,Fabianski,0,0,116,3330,69,0.1,780.4,0,8,650,78.1,8,0,1,3.6
Kristoffer,Nordfeldt,0,0,3,90,1,0,24.8,0,0,12,2.5,0,0,0,3.4
Kyle,Naughton,1,0,82,2714,48,407.5,589,216,7,528,121.3,8,0,5,2.1
Ashley,Williams,1,3,127,3160,40,119.1,927.6,289,9,739,133.9,13,1,7,8.7
Neil,Taylor,0,1,22,920,26,84.1,149.2,12,0,160,24.6,2,0,1,0.1
Angel,Rangel,1,0,26,831,24,122.7,221.8,54,1,190,40,1,0,1,0.2
Jordi,Amat,0,0,21,1409,36,29.2,332.2,106,0,237,46.8,2,0,5,7.4
Federico,Fernández,0,1,63,2430,41,38.2,579.4,206,4,435,82.9,6,0,7,1.9
Franck,Tabanou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen,Kingsley,0,0,29,1036,20,106.8,140.2,15,2,192,26.2,3,0,0,8.9
Mike,van der Hoorn,1,0,16,662,20,1.2,191.6,50,0,125,24.3,1,0,1,0.2
Jack,Cork,0,1,50,2232,51,222,331.2,168,0,348,71.6,3,0,7,0.1
Gylfi,Sigurdsson,9,13,181,3327,70,1302.7,905.4,1074,18,684,328.3,7,0,2,10.8
Wayne,Routledge,3,2,74,1917,42,428.5,273.2,355,2,228,105.5,5,0,1,0.3
Leon,Britton,0,0,32,1163,24,72.8,127.8,10,0,200,21.2,5,0,3,0.1
Jay,Fulton,0,0,19,690,15,53.3,85.4,47,0,92,18.7,3,0,2,0
Sung-yueng,Ki,0,1,41,1291,28,210.9,160.4,77,0,220,44.4,4,0,3,0.1
Jefferson,Montero,0,1,18,380,9,134.3,82.4,99,0,76,31.5,0,0,0,0.1
André,Ayew,6,3,89,1439,25,233.4,324.4,505,5,257,105.6,6,0,1,1
Leroy,Fer,6,2,95,2405,49,333.9,507.6,443,5,429,128.3,4,0,9,4.6
Nathan,Dyer,0,1,12,214,11,57.5,40,48,0,47,14.6,0,0,0,0.1
Bafétimbi,Gomis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin,Emnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Modou,Barrow,0,2,34,1145,23,332.7,153.6,223,0,136,70.5,4,0,1,0.6
Hugo,Lloris,0,0,143,3004,24,20,664.6,2,6,665,68.7,15,0,0,7.9
Michel,Vorm,0,0,17,416,2,0,70.4,0,0,81,6.9,2,0,0,0.3
Toby,Alderweireld,1,0,120,2601,17,102.2,618.4,363,4,611,108.6,14,0,1,9.6
Danny,Rose,2,3,84,1530,11,371.5,387.4,237,6,357,99.6,8,0,8,4.3
Kyle,Walker,0,6,142,2701,21,570.5,564,264,18,640,140.2,14,0,8,27.6
Jan,Vertonghen,0,0,126,2894,21,121.1,790.8,138,8,733,105.1,15,0,5,7.7
Ben,Davies,1,3,90,1739,13,449.6,452,156,5,443,105.8,8,0,1,5.2
Kieran,Trippier,0,5,51,568,3,185.6,183.8,35,7,202,40.6,3,0,1,0.4
Kevin,Wimmer,0,0,2,357,4,14.4,39.4,0,0,26,5.4,0,0,3,0.1
DeAndre,Yedlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Eric,Dier,2,0,93,3043,24,223.8,663.6,315,4,505,120.7,16,0,6,5.1
Mousa,Dembélé,1,2,76,2056,17,409.7,407.2,121,6,456,94.2,11,0,5,0.5
Nacer,Chadli,5,6,110,2135,32,538.8,412,543,8,359,148.7,6,0,2,1.4
Erik,Lamela,1,1,28,595,2,275.2,121.8,225,4,93,62.2,4,0,1,3.3
Christian,Eriksen,8,20,218,3159,24,1679.2,974.6,1244,30,798,389.7,16,0,0,17.9
Nabil,Bentaleb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Mason,1,0,26,927,27,149.6,116,137,0,126,39.8,0,0,4,0
Tom,Carroll,1,2,52,1389,18,268.2,253.8,86,4,243,61,5,0,1,2.6
Bamidele,Alli,18,11,225,3036,22,778.7,969.6,1270,17,679,301.7,17,0,4,32.3
Joshua,Onomah,0,0,5,22,0,4.4,7.4,18,0,17,3,0,0,0,0.1
Victor,Wanyama,4,2,103,3012,25,486,609.6,480,7,578,157.7,12,0,10,2.9
Alex,Pritchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heung-Min,Son,14,9,174,2063,18,642.3,753.4,1161,13,512,255.6,10,0,2,11
Harry,Kane,29,7,224,2523,19,548.4,1279,1530,33,920,336,14,0,3,23.3
Clinton,N'Jie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent,Janssen,2,3,55,845,8,241.3,158,501,3,134,89.4,3,0,0,0.8
Costel,Pantilimon,0,0,2,83,4,0,41.6,0,0,20,4.1,0,0,0,0.4
Heurelho,Gomes,0,0,113,3337,64,10,834.4,0,6,681,84.4,7,0,1,1.7
Craig,Cathcart,0,1,31,1162,21,61.7,225.2,45,3,183,33.2,2,0,3,0.2
Sebastian,Prödl,1,2,67,2770,49,111.3,624,302,3,441,103.8,5,1,10,0.8
Juan Carlos,Paredes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
José,Holebas,2,4,87,2905,61,567.6,666.8,211,9,547,144.6,7,0,14,3
Allan-Roméo,Nyom,0,2,74,2638,39,214.3,461,109,6,419,78.3,5,0,8,1.3
Miguel,Britos,1,2,71,2280,36,96.7,531.2,280,8,413,90.9,6,2,6,0.7
Christian,Kabasele,2,0,35,771,15,49.1,200.4,166,1,143,41.7,1,0,1,0
Adlène,Guédioura,0,1,26,861,20,169.2,123.6,100,0,131,38.7,0,0,2,0.1
Etienne,Capoue,7,2,131,3204,60,696.8,577.6,513,14,544,178.7,7,0,5,22.9
Almen,Abdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Watson,0,0,1,54,2,1.3,5.6,0,0,6,0.6,0,1,0,0.6
Ikechi,Anya,0,0,1,10,0,0,0,0,0,3,0,0,0,0,0
Valon,Behrami,0,0,48,2030,39,101.9,208.2,24,0,258,33.6,5,0,7,0.2
Steven,Berghuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordin,Amrabat,0,3,65,2091,51,494.3,282.4,368,5,263,113.9,4,0,4,0.1
Mario,Suárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Isaac,Success,1,1,28,519,9,96.7,146.2,225,0,87,46.8,1,0,2,0
Troy,Deeney,10,4,130,2944,52,555.9,617.4,900,18,441,206.8,6,0,7,4.8
Odion,Ighalo,1,1,39,1291,29,173.8,93.6,440,2,84,70,2,0,1,2.4
Mamadou Obbi,Oularé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome,Sinclair,0,0,6,116,1,14.3,1,22,0,11,3.5,0,0,0,0.2
Boaz,Myhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Ben,Foster,0,0,113,3420,51,20.3,767,5,4,629,79.5,6,0,2,12.6
Jonny,Evans,2,1,79,2637,39,117.5,626.6,259,7,478,100.6,4,0,8,4.1
Jonas,Olsson,0,0,8,590,13,1.1,96.4,21,0,60,12,1,0,3,0.5
Craig,Dawson,4,0,102,3276,50,317.1,742.4,418,6,500,147.9,6,0,10,2.5
Sébastien,Pocognoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Cristian,Gamboa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Gareth,McAuley,6,1,131,3140,45,74.3,913.8,367,14,576,135.4,7,0,5,24.7
James,Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Brunt,3,4,99,2477,37,674.5,509.4,340,11,462,153.1,4,0,5,2.3
Darren,Fletcher,2,3,103,3231,45,362.3,393.2,260,2,453,101.2,8,0,0,8.1
Craig,Gardner,0,1,14,218,6,137.9,35.4,11,0,52,18.3,1,0,1,0.1
James,Morrison,5,2,84,1741,22,348.9,351,237,4,328,93.7,4,0,3,1.1
Claudio,Yacob,0,0,54,2418,36,108.5,346,33,0,366,49,4,0,9,0.2
Callum,McManaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
James,McClean,1,3,52,1477,24,331.3,288.6,360,1,236,98.2,2,0,9,0.1
Jonathan,Leko,0,1,12,118,3,29.9,27.4,20,0,38,7.6,0,0,0,0.5
Matt,Phillips,4,9,115,2181,28,508.9,463.2,458,12,357,142.3,6,0,2,4
Rickie,Lambert,0,0,1,13,0,11,3.6,40,0,3,5.5,0,0,0,0.1
Saido,Berahino,0,0,26,963,13,73.5,38.4,299,0,50,40,4,0,1,0.5
Salomón,Rondón,8,3,118,2892,44,430.3,435.4,1430,10,287,227.8,6,0,2,4.2
Adrián,San Miguel del Castillo,0,0,64,1440,25,10,367.8,0,6,311,37.7,6,0,1,1.7
Darren,Randolph,0,0,69,1980,39,0,484.8,0,5,370,48.7,4,0,1,1.3
James,Collins,2,0,69,1655,29,45.4,501,169,7,364,71.6,6,0,3,4.5
Winston,Reid,2,3,102,2587,48,104.4,793.6,141,16,622,104,9,1,8,2.4
Aaron,Cresswell,0,2,60,2115,35,284.7,307.6,121,1,334,71.2,5,1,2,0.3
Reece,Oxford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Angelo,Ogbonna,0,0,45,1755,31,82.4,384.4,51,2,322,51.6,4,0,2,0.7
Sam,Byram,0,1,29,1249,27,118.2,202.2,72,2,198,39.4,3,1,5,0.3
Mark,Noble,3,0,71,2389,40,384.8,342,233,5,389,95.9,8,0,10,1.2
Cheikhou,Kouyaté,1,1,79,2723,46,147.4,458.8,200,3,438,80.5,9,0,3,0.7
Pedro,Obiang,1,2,55,1763,32,131.3,311.4,52,6,331,49.4,4,0,7,0.3
Dimitri,Payet,2,8,81,1513,28,1096.6,414,516,10,347,202.6,4,0,2,6.2
Manuel,Lanzini,8,3,133,2708,53,863.3,639,629,20,635,213.5,9,0,9,2
Josh,Cullen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Michail,Antonio,9,8,132,2433,43,503.1,622.4,1105,8,410,222.7,7,1,4,5.3
Håvard,Nordtveit,0,1,31,957,20,63.3,155.4,43,0,160,26.1,3,0,2,0.1
Sofiane,Feghouli,3,3,55,1042,23,320.2,268,262,4,220,84.9,1,1,1,0.7
Gökhan,Töre,0,1,10,240,4,87.8,28.2,33,0,29,14.6,1,0,0,0.1
Andy,Carroll,7,2,69,1312,27,220.8,351.8,620,6,256,119.2,3,0,3,2
Enner,Valencia,3,3,54,927,12,117.6,194.2,490,3,173,79,2,0,1,1.7
Diafra,Sakho,1,0,12,181,4,19.6,41.8,45,2,32,10.7,0,0,0,0.1
Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Paul,Robinson,0,0,5,270,7,0,66.2,0,0,45,6.6,0,0,0,2.3
Johann Berg,Gudmundsson,1,3,47,999,19,267.3,220,161,3,187,64.8,3,0,1,0.1
Ragnar,Klavan,0,0,43,1410,19,52.5,308.2,78,4,292,44,3,0,3,0.6
Marko,Grujic,0,0,4,43,0,17.4,8.8,39,0,10,6.1,0,0,1,0.2
Jason,Denayer,0,0,56,1878,30,55.1,319.2,62,2,320,43.7,6,0,2,0.1
Antonio,Barragán,0,0,71,2193,32,219,442.2,50,8,455,71.5,7,0,5,1
Álvaro,Negredo,9,5,130,2872,45,454.9,542.4,1078,17,436,207.1,10,0,5,10.9
Juan,Zuñiga,1,1,38,823,15,86.4,139.8,79,2,173,30.1,1,0,1,1.1
Tommie,Hoban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Brice,Dja Djédjé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye,Doucouré,1,0,38,1352,32,178.2,179.4,254,0,226,61.1,4,0,4,0
Matej,Vydra,0,0,1,3,0,0.3,0,0,0,3,0,0,0,0,0.3
Rob,Holding,0,0,32,810,8,49.2,172,100,3,171,32.2,4,0,3,3.3
Georginio,Wijnaldum,6,9,149,2974,37,694.5,648.4,639,14,650,198.5,11,0,2,1.7
Ramadan,Sobhi,0,2,36,855,11,137.3,104.6,149,1,151,38.5,5,0,2,0.5
Ola,Aina,0,0,3,26,0,0.9,4.8,17,0,9,2.3,0,0,0,0.1
Idrissa,Gueye,1,2,80,2681,31,434.1,555.8,237,9,540,122.9,9,0,11,0.4
Leroy,Sané,5,7,105,1781,15,505.1,397.2,632,8,343,153.7,9,0,4,7.5
Bradley,Guzan,0,0,36,900,17,0,228.4,0,3,197,22.9,3,0,0,0.7
Gastón,Ramírez,2,3,59,1539,22,509.9,287.2,364,6,244,115.6,6,1,8,0.5
Jérémy,Pied,0,0,5,129,1,20.7,20.6,21,0,24,6.3,0,0,0,0
Chuba,Akpom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Sullay,Kaikai,0,0,1,24,0,1.8,0,4,0,1,0.5,0,0,0,0
Mason,Holgate,0,1,54,1372,18,152.2,286.8,83,5,303,52.3,5,0,2,7.1
Benjamin,Chilwell,1,0,19,699,18,48.4,137,88,0,136,27.2,1,0,2,0.2
Bartosz,Kapustka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Jose Angel,Esmoris Tasende,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Papy,Djilobodji,0,0,24,1577,35,25.9,487.6,124,0,281,63.8,2,1,4,0.2
Fernando,Llorente,15,3,146,2442,51,489.6,639.8,1086,22,512,220.3,5,0,2,9.4
Cameron,Carter-Vickers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Lafferty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Paul,Pogba,5,4,115,2608,21,953.5,713,839,14,512,250,13,0,7,7.3
Jack,Stephens,0,1,60,1471,24,58.2,350.4,58,10,341,46.6,6,0,1,5.2
Arthur,Masuaku,0,1,34,972,24,126.7,219.8,18,7,253,36.4,3,0,1,0.1
Donald,Love,0,1,21,611,11,73.6,157.6,17,1,133,24.9,1,0,1,4.2
Borja,Bastón,1,2,32,561,11,91.9,59,190,1,83,33.1,1,0,0,0
Olayinka Fredrick Oladotun,Ladapo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keshi,Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane,Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Sam,Field,0,0,9,275,1,49,16.4,3,0,50,6.7,1,0,2,0
Tom,Davies,2,3,63,1544,17,246.1,259,208,0,248,70.9,8,0,4,2.3
Harry,Winks,1,1,30,494,6,122.1,128,77,0,141,32.8,0,0,1,0
Greg,Olley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Clackstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Jarrod,Bowen,0,0,8,181,8,17.9,3.8,36,0,21,5.7,0,0,0,0.1
Dusan,Kuciak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Greg,Luer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Josh,Tymon,0,0,9,323,8,20.5,40.2,2,0,57,6.4,1,0,1,0.3
Lynden,Gooch,0,0,12,366,9,66.4,36.4,54,0,43,15.4,1,0,3,0.2
Joel,Asoro,0,0,1,10,0,0,0,2,0,3,0.2,0,0,0,0
Alex,Baptiste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Trent,Alexander-Arnold,0,0,8,167,2,20.2,32.4,48,0,32,10.1,0,0,0,0
Alexander,Manninger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Steven,Defour,1,3,54,1068,13,386.4,249.2,96,6,245,73.3,5,0,1,0.2
Jonathan,Calleri,1,0,23,540,4,115,56.2,265,0,47,43.2,3,0,0,0.1
Fabio Pereira,da Silva,0,0,58,1847,30,273.9,355.8,39,8,347,67.1,6,0,8,0.4
Pablo,Maffeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,McGee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Nathaniel,Chalobah,0,1,12,167,3,51.1,40.6,7,0,54,9.9,0,0,2,0
Aiden,O'Neill,0,0,3,85,4,5.1,7.6,8,0,16,2.1,0,0,0,0
Josh,Robson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Steven,Pienaar,0,0,15,802,13,134.4,90.8,98,0,77,32.3,2,1,5,0
Reece,Burke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Fletcher,0,0,16,367,13,64.2,30.6,160,0,33,24.4,0,0,2,0.2
Ryan,Fraser,3,9,100,1764,32,536.5,338.4,332,8,345,120.7,7,0,3,1.2
Thomas,Robson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Javier,Manquillo,1,0,38,1430,28,98.7,242.2,66,0,210,40.8,2,0,2,0
Roberto,Pereyra,2,3,43,1036,17,239.3,168,141,2,186,54.7,3,1,2,0.2
Daryl,Janmaat,2,1,50,1614,33,222.3,309.4,254,0,261,78.8,2,0,2,0.2
Claudio,Bravo,0,0,73,1968,26,0,292.2,0,3,366,28.9,6,0,0,1.2
Edimilson,Fernandes,0,1,38,1002,18,109.9,107.8,209,0,148,42.3,3,0,4,0
Hiram,Boateng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien,Ngoy,0,0,5,49,1,12.1,7.4,46,0,16,6.5,0,0,0,0.1
Ben,Hinchcliffe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,McBurnie,0,0,5,82,5,33,8,39,0,17,8,0,0,0,0.1
Maksymilian,Stryjek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Jack,Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Lucas,Pérez,1,1,20,272,2,105.4,65.4,163,0,83,32.9,1,0,0,0.1
Simone,Zaza,0,0,10,459,14,112.4,16.4,207,0,21,32.9,2,0,2,0.1
Sofiane,Boufal,1,1,40,1104,22,328.6,197,265,1,160,78.6,3,0,5,0.1
Stefano,Okaka,4,0,43,959,23,179.6,197.6,494,3,157,87.1,2,0,5,0.1
Patrick,Bamford,1,0,21,326,8,26.9,51,139,2,59,21.5,0,0,1,0.1
David,Marshall,0,0,32,1440,44,0.3,423,0,0,262,42.3,0,0,0,0.1
Shkodran,Mustafi,2,2,90,2274,30,159.7,598.2,364,8,513,112.4,8,0,11,1.4
Adrian,Mariappa,0,0,15,562,13,12.7,162.6,26,3,121,20.1,1,0,0,0.4
Will,Keane,0,0,8,280,10,50.1,2.8,39,0,9,8.3,1,0,0,0.2
Alfie,Mawson,4,0,94,2430,45,62,678,302,9,541,104.2,7,0,1,1.9
Didier,Ndong,1,1,67,2520,48,310.1,340.4,140,1,397,78.9,5,0,5,0
Jeff,Hendrick,2,1,76,2691,47,234.4,284.6,259,1,286,77.4,9,1,6,0.1
Marcos,Alonso,6,5,177,2693,19,420.4,618.2,536,11,675,157.6,15,0,2,16
Bruno,Martins Indi,1,0,106,3146,50,34.4,682.6,266,9,634,98.6,11,0,4,0.7
Adama,Traoré,0,1,52,1543,22,320.5,283.2,176,2,264,77.9,6,0,1,0.1
Pau,López Sabata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges-Kévin,Nkoudou,0,0,8,54,0,7.7,17,26,0,25,5.2,0,0,0,0
James,Weir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islam,Slimani,7,4,83,1281,23,268.4,338.2,516,9,271,111.3,5,0,1,0.6
Álvaro,Arbeloa,0,0,0,258,9,32.5,37,3,0,34,7.3,0,0,3,0.1
Dieumerci,Mbokani,0,2,27,764,16,107.3,52.4,235,0,43,39.6,3,0,0,0
David,Luiz Moreira Marinho,1,1,132,2954,26,158.1,651,280,10,675,109.1,15,0,6,5
Hal,Robson-Kanu,3,2,52,701,13,130.7,166.2,255,3,144,53.8,1,0,3,0.3
Moussa,Sissoko,0,3,43,909,5,274.2,133,212,0,162,61,4,0,3,0.1
Markus,Henriksen,0,0,20,638,13,62.9,52.4,60,0,75,17.4,0,0,1,0
Lee,Grant,0,0,106,2520,34,0,644,0,9,546,64.7,9,0,1,6.5
Victor,Anichebe,3,1,48,1219,21,195.3,210.4,505,5,166,90.4,3,0,2,2.2
Mathieu,Flamini,0,0,12,274,6,13.7,33,13,0,47,5.9,0,0,0,0.1
Michael,Simões Domingues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleix,García Serrano,0,0,4,77,2,19.1,14,0,0,25,3.4,0,0,0,0
Jonathan,Benteke,0,0,1,7,0,0.3,5,9,0,3,1.4,0,0,0,0.4
Ezekiel,Fryers,0,1,9,188,7,36.3,41.6,8,0,38,8.6,0,0,0,0
Luke,Dreher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oviemuno,Ejaria,0,0,2,8,0,1.3,0,2,0,6,0.3,0,0,0,0
Ben,Hamer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,Isgrove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Wynter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Jake,Hesketh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,Honeyman,0,0,7,235,4,42.7,34.2,29,0,30,10.6,1,0,1,0
Jeff,Reine-Adelaide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olufela,Olomola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic,Solanke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphael,Spiegel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Sam,McQueen,0,1,23,616,9,58.4,123.6,25,0,132,20.8,1,0,0,0.1
Ainsley,Maitland-Niles,0,0,1,2,0,0,2.2,0,0,5,0.2,0,0,0,0
Kevin,Long,0,0,3,270,6,0.2,56.4,4,0,39,6.1,0,0,0,0.1
Dominic,Calvert-Lewin,1,0,17,347,7,10,53.2,82,1,46,14.1,0,0,1,0.1
Mateusz,Hewelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Stuart,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
