id,name,squad,price,status,position,totalPoints,avgPoints,round0,round1,round2,round3,round4,round5,round6,round7
319,Parfait Guiagon,CIV,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
320,Jean Michael Seri,CIV,5.5,eliminated,MID,1,1,0,0,1,0,0,0,0,0
321,Ibrahim Sangare,CIV,5.8,eliminated,MID,17,4.3,1,4,9,3,0,0,0,0
322,Franck Kessie,CIV,5.9,eliminated,MID,17,4.3,2,10,3,2,0,0,0,0
323,Seko Fofana,CIV,6.8,eliminated,MID,3,1.5,2,1,0,0,0,0,0,0
324,Petar Sucic,CRO,4.2,eliminated,MID,20,5,7,0,10,3,0,0,0,0
325,Josip Stanisic,CRO,4.3,eliminated,DEF,17,4.3,-1,12,2,4,0,0,0,0
326,Josip Sutalo,CRO,4.3,eliminated,DEF,11,2.8,-1,9,2,1,0,0,0,0
327,Duje Caleta-Car,CRO,4.0,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
328,Marin Pongracic,CRO,4.0,eliminated,DEF,12,4,0,9,2,1,0,0,0,0
329,Martin Erlic,CRO,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
330,Luka Vuskovic,CRO,3.7,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
332,Ante Budimir,CRO,6.8,eliminated,FWD,11,3.7,0,8,2,1,0,0,0,0
333,Andrej Kramaric,CRO,6.2,eliminated,FWD,3,1,1,1,0,1,0,0,0,0
334,Ivan Perisic,CRO,5.4,eliminated,FWD,18,4.5,7,2,1,8,0,0,0,0
335,Marco Pasalic,CRO,5.3,eliminated,FWD,4,1.3,1,2,1,0,0,0,0,0
336,Petar Musa,CRO,5.1,eliminated,FWD,10,5,9,1,0,0,0,0,0,0
337,Igor Matanovic,CRO,4.9,eliminated,FWD,3,1,1,0,1,1,0,0,0,0
338,Dominik Livakovic,CRO,4.5,eliminated,GK,13,3.3,1,9,2,1,0,0,0,0
339,Ivor Pandur,CRO,3.9,eliminated,GK,0,0,0,0,0,0,0,0,0,0
341,Luka Sucic,CRO,4.9,eliminated,MID,1,1,0,1,0,0,0,0,0,0
342,Toni Fruk,CRO,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
343,Nikola Moro,CRO,5.6,eliminated,MID,0,0,0,0,0,0,0,0,0,0
344,Kristijan Jakic,CRO,5.6,eliminated,MID,0,0,0,0,0,0,0,0,0,0
345,Nikola Vlasic,CRO,6.1,eliminated,MID,14,4.7,1,0,10,3,0,0,0,0
346,Luka Modric,CRO,6.2,eliminated,MID,12,3,0,3,7,2,0,0,0,0
347,Mario Pasalic,CRO,6.4,eliminated,MID,5,1.3,2,1,1,1,0,0,0,0
348,Martin Baturina,CRO,6.5,eliminated,MID,17,4.3,10,3,2,2,0,0,0,0
350,Tahith Chong,CUW,4.2,eliminated,MID,7,2.3,2,3,2,0,0,0,0,0
351,Godfried Roemeratoe,CUW,4.7,eliminated,MID,1,1,0,1,0,0,0,0,0,0
352,Leandro Bacuna,CUW,4.0,eliminated,DEF,5,1.7,-4,8,1,0,0,0,0,0
353,Riechedly Bazoer,CUW,3.8,eliminated,DEF,-5,-5,-5,0,0,0,0,0,0,0
354,Joshua Brenet,CUW,3.7,eliminated,DEF,10,5,0,9,1,0,0,0,0,0
355,Shurandy Sambo,CUW,3.6,eliminated,DEF,1,1,0,0,1,0,0,0,0,0
356,Sherel Floranus,CUW,3.6,eliminated,DEF,6,2,-4,9,1,0,0,0,0,0
357,Roshon van Eijma,CUW,3.5,eliminated,DEF,1,1,0,1,0,0,0,0,0,0
358,Ar'Jany Martha,CUW,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
359,Jurien Gaari,CUW,3.5,eliminated,DEF,9,4.5,0,8,1,0,0,0,0,0
360,Livano Comenencia,CUW,4.5,eliminated,DEF,13,4.3,3,8,2,0,0,0,0,0
361,Tyrese Noslin,CUW,3.5,eliminated,DEF,1,1,0,0,1,0,0,0,0,0
362,Brandley Kuwas,CUW,4.4,eliminated,FWD,1,1,0,0,1,0,0,0,0,0
363,Sontje Hansen,CUW,4.4,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
364,Kenji Gorre,CUW,4.2,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
365,Jearl Margaritha,CUW,4.2,eliminated,FWD,2,1,1,1,0,0,0,0,0,0
366,Gervane Kastaneer,CUW,4.0,eliminated,FWD,1,0.3,1,0,0,0,0,0,0,0
367,Jeremy Antonisse,CUW,4.0,eliminated,FWD,2,1,1,0,1,0,0,0,0,0
368,Eloy Room,CUW,3.9,eliminated,GK,12,4,-3,14,1,0,0,0,0,0
369,Trevor Doornbusch,CUW,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
370,Tyrick Bodak,CUW,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
371,Kevin Felida,CUW,4.5,eliminated,MID,0,0,0,0,0,0,0,0,0,0
372,Juninho Bacuna,CUW,5.1,eliminated,MID,6,2,3,2,1,0,0,0,0,0
373,Denis Visinsky,CZE,4.9,eliminated,MID,1,1,0,0,1,0,0,0,0,0
374,Ladislav Krejci,CZE,4.4,eliminated,DEF,11,3.7,10,1,0,0,0,0,0,0
375,Tomas Holes,CZE,3.9,eliminated,DEF,3,1.5,0,2,1,0,0,0,0,0
376,David Jurasek,CZE,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
378,Robin Hranac,CZE,3.9,eliminated,DEF,3,1,1,2,0,0,0,0,0,0
379,Jaroslav Zeleny,CZE,3.9,eliminated,DEF,2,1,1,1,0,0,0,0,0,0
380,Vladimir Coufal,CZE,3.6,eliminated,DEF,6,2,4,2,0,0,0,0,0,0
381,Stepan Chaloupek,CZE,3.5,eliminated,DEF,1,1,1,0,0,0,0,0,0,0
382,Patrik Schick,CZE,7.3,eliminated,FWD,5,1.7,2,2,1,0,0,0,0,0
383,Tomas Chory,CZE,5.3,eliminated,FWD,2,1,1,0,1,0,0,0,0,0
384,Mojmir Chytil,CZE,4.9,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
386,Tomas Ladra,CZE,4.4,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
387,Matej Kovar,CZE,4.1,eliminated,GK,5,1.7,2,3,0,0,0,0,0,0
388,Lukas Hornicek,CZE,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
390,Lukas Cerv,CZE,5.3,eliminated,MID,6,3,0,3,3,0,0,0,0,0
391,Vladimir Darida,CZE,5.3,eliminated,MID,1,1,0,1,0,0,0,0,0,0
392,Pavel Bucha,CZE,5.5,eliminated,MID,0,0,0,0,0,0,0,0,0,0
393,Tomas Soucek,CZE,5.6,eliminated,MID,4,1.3,2,1,1,0,0,0,0,0
395,Michal Sadilek,CZE,5.6,eliminated,MID,15,5,1,11,3,0,0,0,0,0
396,Lukas Provod,CZE,5.9,eliminated,MID,5,1.7,3,1,1,0,0,0,0,0
397,Pavel Sulc,CZE,5.9,eliminated,MID,5,1.7,3,0,2,0,0,0,0,0
398,Denil Castillo,ECU,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
399,Jordy Alcivar,ECU,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
400,Pervis Estupinan,ECU,4.8,eliminated,DEF,10,5,0,9,1,0,0,0,0,0
403,Angelo Preciado,ECU,4.3,eliminated,DEF,4,1,1,1,1,1,0,0,0,0
404,Joel Ordonez,ECU,3.9,eliminated,DEF,4,1.3,2,0,2,0,0,0,0,0
405,Felix Torres,ECU,3.9,eliminated,DEF,1,1,0,0,1,0,0,0,0,0
406,Jose Hurtado,ECU,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
407,Jackson Porozo,ECU,3.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
411,Yaimar Medina,ECU,3.5,eliminated,DEF,1,1,0,0,0,1,0,0,0,0
412,Enner Valencia,ECU,5.9,eliminated,FWD,9,2.3,2,4,2,1,0,0,0,0
413,Gonzalo Plata,ECU,5.6,eliminated,FWD,15,3.8,2,3,8,2,0,0,0,0
414,John Yeboah,ECU,5.1,eliminated,MID,11,2.8,3,4,2,2,0,0,0,0
415,Kevin Rodriguez,ECU,4.9,eliminated,FWD,7,1.8,1,1,4,1,0,0,0,0
416,Alan Minda,ECU,4.9,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
417,Jordy Caicedo,ECU,4.9,eliminated,FWD,3,1,0,1,1,1,0,0,0,0
419,John Mercado,ECU,4.4,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
420,Anthony Valencia,ECU,4.2,eliminated,MID,0,0,0,0,0,0,0,0,0,0
421,Jeremy Arevalo,ECU,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
423,Hernan Galindez,ECU,4.2,eliminated,GK,14,3.5,3,8,2,1,0,0,0,0
424,Moises Ramirez,ECU,3.9,eliminated,GK,0,0,0,0,0,0,0,0,0,0
425,Gonzalo Valle,ECU,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
427,Kendry Paez,ECU,5.2,eliminated,MID,0,0,0,0,0,0,0,0,0,0
428,Alan Franco,ECU,5.6,eliminated,MID,8,2,3,3,2,0,0,0,0,0
429,Pedro Vite,ECU,5.2,eliminated,MID,18,4.5,3,3,10,2,0,0,0,0
430,Moises Caicedo,ECU,6.8,eliminated,MID,9,2.3,2,3,3,1,0,0,0,0
432,Marwan Attia Fahim Ghallab,EGY,4.3,eliminated,MID,12,2.4,2,2,1,3,4,0,0,0
433,Ahmed Mostafa Mohamed Sayed,EGY,4.3,eliminated,MID,4,1,1,1,1,0,1,0,0,0
434,Hamdi Fathy Abdelhalim Abdel Fattah,EGY,4.4,eliminated,MID,7,1.8,3,1,0,2,1,0,0,0
435,Emam Ashour Metwally Abdel Ghany,EGY,4.6,eliminated,MID,24,4.8,10,2,1,10,1,0,0,0
436,Mahmoud Saber Abdelmohsen Hassan,EGY,4.9,eliminated,MID,9,4.5,0,0,8,1,0,0,0,0
437,Mohamed Abdelmonem El Sayed Mohamed Ahmed,EGY,4.0,eliminated,DEF,1,0.5,0,1,0,0,0,0,0,0
438,Ahmed Mohamed Abou El Fotouh Mohamed,EGY,3.9,eliminated,DEF,5,1.7,1,2,2,0,0,0,0,0
439,Mohamed Hany Gamal El Demerdash,EGY,3.6,eliminated,DEF,9,1.8,0,7,2,0,0,0,0,0
440,Ramy Hisham Abdel Aziz Mostafa Rabia,EGY,3.6,eliminated,DEF,6,1.2,1,1,2,2,0,0,0,0
441,Hossam Abdelmaguid Abdelsalam Abdelmaguid,EGY,3.6,eliminated,DEF,2,1,0,1,0,1,0,0,0,0
442,Tarek Alaa El Gebaly,EGY,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
444,Yasser Ahmed Ibrahim El Hanafi,EGY,3.5,eliminated,DEF,22,4.4,2,2,8,1,9,0,0,0
445,Omar Khaled Mohamed Abdelsalam Marmoush,EGY,7.8,eliminated,FWD,8,1.6,2,2,1,2,1,0,0,0
447,Mahmoud Ahmed Ibrahim Hassan,EGY,5.6,eliminated,FWD,18,4.5,0,8,8,1,1,0,0,0
448,Haissem Hassan,EGY,4.6,eliminated,FWD,3,1.5,0,0,0,0,3,0,0,0
451,Mohamed El Sayed Mohamed El Shenawy Gomaa,EGY,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
452,El Mahdy Mohamed Soliman Ibrahim,EGY,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
453,Mostafa Ahmed Abdelaziz Mohamed Shobeir,EGY,3.5,eliminated,GK,18,3.6,3,3,7,2,3,0,0,0
454,Mohamed Alaa,EGY,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
455,Mohanad Mostafa Ahmed Abdelmonem Lasheen,EGY,5.3,eliminated,MID,10,2.5,4,2,1,0,3,0,0,0
456,Ibrahim Adel Ali Mohamed Hassan,EGY,5.9,eliminated,MID,1,1,1,0,0,0,0,0,0,0
457,Nico O'Reilly,ENG,4.7,playing,DEF,13,1.9,1,1,7,2,0,2,0,0
459,Tino Livramento,ENG,4.6,transferred,DEF,0,0,0,0,0,0,0,0,0,0
461,Marc Guehi,ENG,5.1,playing,DEF,20,2.5,1,7,7,2,0,2,1,0
462,Dan Burn,ENG,4.5,playing,DEF,2,0.7,0,0,0,0,1,1,0,0
463,Ezri Konsa,ENG,4.8,playing,DEF,30,3.8,1,9,9,2,1,2,0,6
466,John Stones,ENG,4.6,playing,DEF,6,1.2,1,0,0,1,1,2,1,0
467,Djed Spence,ENG,4.5,playing,DEF,17,2.1,1,9,1,2,1,1,1,1
468,Harry Kane,ENG,10.5,playing,FWD,50,7.1,13,2,8,13,9,3,2,0
469,Bukayo Saka,ENG,9.5,playing,MID,46,6.6,4,1,8,1,7,4,0,21
471,Marcus Rashford,ENG,7.5,playing,MID,23,3.8,9,1,3,2,0,0,1,7
474,Anthony Gordon,ENG,7.0,playing,MID,35,5.8,2,3,0,9,7,5,9,0
475,Morgan Rogers,ENG,7.2,playing,MID,19,2.7,1,1,3,0,1,4,7,2
476,Noni Madueke,ENG,6.1,playing,FWD,10,2,4,2,1,2,0,1,0,0
477,Jordan Pickford,ENG,4.8,playing,GK,25,3.6,2,7,7,2,2,3,2,0
478,Dean Henderson,ENG,4.2,playing,GK,0,0,0,0,0,0,0,0,0,0
479,James Trafford,ENG,4.0,playing,GK,0,0,0,0,0,0,0,0,0,0
482,Jordan Henderson,ENG,5.1,injured,MID,1,1,0,0,1,0,0,0,0,0
485,Kobbie Mainoo,ENG,6.1,playing,MID,0,0,0,0,0,0,0,0,0,0
486,Elliot Anderson,ENG,6.5,playing,MID,24,3,7,4,3,2,3,2,2,1
488,Declan Rice,ENG,7.0,playing,MID,28,4,5,2,0,3,1,1,3,13
491,Jude Bellingham,ENG,8.3,playing,MID,65,8.1,9,3,14,1,15,14,2,7
492,Theo Hernandez,FRA,5.0,playing,DEF,3,0.6,2,0,1,1,0,0,1,-2
493,Maxence Lacroix,FRA,4.5,playing,DEF,1,0.3,0,0,2,0,0,0,2,-3
494,Dayot Upamecano,FRA,5.3,playing,DEF,38,4.8,2,9,2,7,7,7,1,3
495,Ibrahima Konate,FRA,4.9,playing,DEF,-1,-0.5,0,0,1,0,0,0,0,-2
496,Lucas Hernandez,FRA,5.2,playing,DEF,0,0,0,0,0,0,0,0,0,0
498,Lucas Digne,FRA,5.0,playing,DEF,34,5.7,0,9,0,9,9,7,0,0
499,Malo Gusto,FRA,5.1,playing,DEF,1,0.2,0,1,1,1,0,1,0,-3
500,Kylian Mbappe,FRA,10.5,playing,FWD,90,11.3,14,13,9,14,9,13,1,17
501,Ousmane Dembele,FRA,10.0,playing,MID,63,7.9,3,12,20,6,3,10,2,7
502,Marcus Thuram,FRA,7.5,playing,FWD,1,1,0,1,0,0,0,0,0,0
505,Desire Doue,FRA,7.5,playing,MID,28,3.5,3,1,10,1,3,8,1,1
506,Mike Maignan,FRA,5.0,playing,GK,36,4.5,2,7,6,8,7,7,1,-2
508,Brice Samba,FRA,4.5,playing,GK,0,0,0,0,0,0,0,0,0,0
509,N'Golo Kante,FRA,5.1,playing,MID,0,0,0,0,0,0,0,0,0,0
510,Adrien Rabiot,FRA,6.4,playing,MID,22,3.1,7,3,0,3,3,3,1,2
511,Warren Zaire-Emery,FRA,6.1,playing,MID,3,1.5,0,0,0,0,0,1,0,2
512,Manu Kone,FRA,6.1,playing,MID,12,2.4,0,4,2,0,2,3,1,0
514,Maghnes Akliouche,FRA,6.4,playing,MID,1,1,0,1,0,0,0,0,0,0
515,Aurelien Tchouameni,FRA,6.5,playing,MID,18,4.5,3,0,8,4,0,0,3,0
516,Rayan Cherki,FRA,8.0,playing,MID,7,1,1,1,1,1,1,0,1,1
517,Michael Olise,FRA,9.5,playing,MID,45,5.6,6,9,2,10,2,3,3,10
518,Lennart Karl,GER,4.8,eliminated,MID,0,0,0,0,0,0,0,0,0,0
519,Angelo Stiller,GER,5.8,eliminated,MID,1,1,0,0,1,0,0,0,0,0
520,Antonio Rudiger,GER,5.5,eliminated,DEF,5,1.3,1,1,1,2,0,0,0,0
521,David Raum,GER,4.9,eliminated,DEF,2,1,1,0,1,0,0,0,0,0
522,Malick Thiaw,GER,4.7,eliminated,DEF,2,1,0,0,1,1,0,0,0,0
523,Jonathan Tah,GER,5.3,eliminated,DEF,7,1.8,2,2,1,2,0,0,0,0
525,Nathaniel Brown,GER,4.7,eliminated,DEF,18,6,14,2,0,2,0,0,0,0
526,Nico Schlotterbeck,GER,5.3,eliminated,DEF,12,6,11,1,0,0,0,0,0,0
527,Waldemar Anton,GER,3.9,eliminated,DEF,2,1,1,0,0,1,0,0,0,0
528,Kai Havertz,GER,7.8,eliminated,FWD,24,6,13,2,2,7,0,0,0,0
529,Leroy Sane,GER,7.4,eliminated,MID,16,4,2,2,10,2,0,0,0,0
531,Deniz Undav,GER,6.6,eliminated,FWD,31,7.8,14,14,1,2,0,0,0,0
532,Nick Woltemade,GER,7.2,eliminated,FWD,1,1,0,0,0,1,0,0,0,0
533,Alexander Nubel,GER,4.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
534,Oliver Baumann,GER,4.3,eliminated,GK,0,0,0,0,0,0,0,0,0,0
538,Pascal Gross,GER,5.6,eliminated,MID,1,1,0,0,1,0,0,0,0,0
540,Leon Goretzka,GER,6.1,eliminated,MID,5,1.7,1,1,0,3,0,0,0,0
542,Joshua Kimmich,GER,5.5,eliminated,DEF,14,3.5,8,2,2,2,0,0,0,0
543,Florian Wirtz,GER,7.5,eliminated,MID,17,4.3,5,2,5,5,0,0,0,0
565,Benjamin Asare,GHA,3.8,eliminated,GK,13,4.3,2,10,1,0,0,0,0,0
569,Woodensky Pierre,HAI,4.2,eliminated,MID,0,0,0,0,0,0,0,0,0,0
570,Leverton Pierre,HAI,4.2,eliminated,MID,0,0,0,0,0,0,0,0,0,0
571,Jean-Ricner Bellegarde,HAI,4.7,eliminated,MID,5,1.7,1,2,2,0,0,0,0,0
572,Carl Sainte,HAI,4.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
573,Danley Jean Jacques,HAI,4.7,eliminated,MID,8,2.7,3,1,4,0,0,0,0,0
574,Jean-Kevin Duverne,HAI,3.8,eliminated,DEF,3,1.5,0,0,3,0,0,0,0,0
575,Carlens Arcus,HAI,3.8,eliminated,DEF,1,0.3,2,-2,1,0,0,0,0,0
576,Hannes Delcroix,HAI,3.7,eliminated,DEF,1,0.3,2,0,-1,0,0,0,0,0
577,Ricardo Ade,HAI,3.5,eliminated,DEF,1,0.3,2,0,-1,0,0,0,0,0
578,Martin Experience,HAI,3.5,eliminated,DEF,1,0.3,2,0,-1,0,0,0,0,0
580,Wilguens Paugain,HAI,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
581,Duke Lacroix,HAI,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
582,Wilson Isidor,HAI,5.0,eliminated,FWD,12,4,2,1,9,0,0,0,0,0
583,Duckens Nazon,HAI,6.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
584,Frantzdy Pierrot,HAI,4.7,eliminated,FWD,3,1,2,0,1,0,0,0,0,0
585,Derrick Etienne,HAI,4.4,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
586,Louicius Deedson,HAI,4.2,eliminated,FWD,4,1.3,2,1,1,0,0,0,0,0
588,Yassin Fortune,HAI,4.2,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
589,Josue Casimir,HAI,4.2,eliminated,FWD,4,1.3,1,2,1,0,0,0,0,0
590,Ruben Providence,HAI,4.0,eliminated,FWD,6,2,2,2,2,0,0,0,0,0
591,Johny Placide,HAI,3.9,eliminated,GK,2,0.7,2,0,0,0,0,0,0,0
592,Alexandre Pierre,HAI,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
593,Josue Duverger,HAI,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
594,Amir Mohammad Razzaghinia,IRN,4.2,eliminated,MID,0,0,0,0,0,0,0,0,0,0
595,Hadi Habibinejad,IRN,4.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
596,Mohammad Ghorbani,IRN,5.1,eliminated,MID,2,2,0,0,2,0,0,0,0,0
597,Ramin Rezaeian,IRN,4.0,eliminated,DEF,33,11,13,9,11,0,0,0,0,0
598,Hossein Kanani,IRN,3.9,eliminated,DEF,9,4.5,0,9,0,0,0,0,0,0
599,Milad Mohammadi,IRN,3.8,eliminated,DEF,9,3,1,1,7,0,0,0,0,0
600,Shoja Khalilzadeh,IRN,3.8,eliminated,DEF,11,3.7,1,9,1,0,0,0,0,0
601,Ehsan Hajisafi,IRN,3.7,eliminated,DEF,9,4.5,0,9,0,0,0,0,0,0
603,Saleh Hardani,IRN,3.7,eliminated,DEF,2,1,0,1,1,0,0,0,0,0
606,Ali Nemati,IRN,3.5,eliminated,DEF,11,3.7,1,9,1,0,0,0,0,0
608,Aria Yousefi,IRN,3.5,eliminated,DEF,1,1,1,0,0,0,0,0,0,0
609,Danial Eiri,IRN,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
610,Mehdi Taremi,IRN,6.1,eliminated,FWD,8,2.7,2,2,4,0,0,0,0,0
611,Alireza Jahanbakhsh,IRN,5.3,eliminated,FWD,2,1,0,1,1,0,0,0,0,0
612,Saman Ghoddos,IRN,4.9,eliminated,FWD,6,2,2,2,2,0,0,0,0,0
614,Ali Alipour,IRN,4.6,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
615,Dennis Dargahi,IRN,4.6,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
616,Amirhossein Hosseinzadeh,IRN,4.5,eliminated,FWD,2,1,1,1,0,0,0,0,0,0
618,Amirhossein Mahmoudi,IRN,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
620,Alireza Beiranvand,IRN,4.2,eliminated,GK,16,5.3,3,11,2,0,0,0,0,0
621,Payam Niazmand,IRN,3.9,eliminated,GK,0,0,0,0,0,0,0,0,0,0
622,Hossein Hosseini,IRN,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
623,Mohammad Khalifeh,IRN,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
624,Omid Noorafkan,IRN,5.3,eliminated,MID,0,0,0,0,0,0,0,0,0,0
625,Mehdi Torabi,IRN,5.6,eliminated,MID,1,1,0,1,0,0,0,0,0,0
626,Saeid Ezatolahi,IRN,5.6,eliminated,MID,6,2,2,3,1,0,0,0,0,0
627,Mohammad Mohebi,IRN,5.9,eliminated,MID,15,5,10,3,2,0,0,0,0,0
629,Mehdi Ghayedi,IRN,5.9,eliminated,MID,1,1,1,0,0,0,0,0,0,0
630,Zaid Ismael Khaleel Al Dulaimi,IRQ,4.4,eliminated,MID,5,2.5,2,3,0,0,0,0,0,0
631,Marko Hussein Farji,IRQ,4.4,eliminated,MID,2,1,1,1,0,0,0,0,0,0
632,Hasan Abdulkareem Jabbar Sayyid,IRQ,4.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
633,Peter Gwargis,IRQ,5.1,eliminated,MID,0,0,0,0,0,0,0,0,0,0
634,Kevin Yakob,IRQ,5.1,eliminated,MID,1,1,0,0,1,0,0,0,0,0
635,Amir Fouad Abboud Al Ammari,IRQ,5.3,eliminated,MID,9,3,7,1,1,0,0,0,0,0
636,Aimar Hazar Anwar Sher,IRQ,5.3,eliminated,MID,1,1,0,1,0,0,0,0,0,0
637,Merchas Ghazi Salih Doski,IRQ,3.8,eliminated,DEF,-4,-1.3,-1,0,-3,0,0,0,0,0
638,Frans Dhia Jirjis Haddad,IRQ,3.7,eliminated,DEF,-2,-2,0,0,-2,0,0,0,0,0
639,Rebin Ghareeb Sulaka Adhamat,IRQ,3.7,eliminated,DEF,-4,-2,0,1,-5,0,0,0,0,0
640,Maytham Jabbar Mutlag Al Farttoosi,IRQ,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
641,Hussein Haydar Ali,IRQ,3.6,eliminated,DEF,1,0.5,1,0,0,0,0,0,0,0
642,Zaid Tahseen Abd Zaid Hantoosh,IRQ,3.6,eliminated,DEF,-1,-0.5,-2,1,0,0,0,0,0,0
643,Munaf Younus Hashim Al Tekreeti,IRQ,3.5,eliminated,DEF,-1,-1,0,0,-1,0,0,0,0,0
644,Akam Hashim Rahman,IRQ,3.5,eliminated,DEF,-3,-1,-1,0,-2,0,0,0,0,0
645,Ahmed Hasan Maknzi Al Deeshawee,IRQ,3.5,eliminated,DEF,-1,-1,0,0,-1,0,0,0,0,0
646,Aymen Hussein Ghadhban Al Mafraje,IRQ,5.3,eliminated,FWD,8,4,7,1,0,0,0,0,0,0
647,Mohanad Ali Kadhim Al Shammari,IRQ,4.9,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
648,Ali Jasim Elaibi Al Tameemi,IRQ,4.9,eliminated,FWD,3,1.5,2,0,1,0,0,0,0,0
649,Ali Ibrahim Karim Ali Al Hamadi,IRQ,4.7,eliminated,FWD,4,1.3,1,2,1,0,0,0,0,0
650,Youssef Wali Faeq Amyn,IRQ,4.4,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
651,Ali Yousif Hashim Najatee,IRQ,4.2,eliminated,FWD,1,1,0,0,1,0,0,0,0,0
652,Karar Nabeel Hussein Al Janat,IRQ,4.0,eliminated,MID,0,0,0,0,0,0,0,0,0,0
653,Ahmed Basil Fadhil Al Fadhli,IRQ,3.8,eliminated,GK,1,0.5,0,0,1,0,0,0,0,0
654,Fahad Talib Raheem,IRQ,3.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
655,Kumel Saadi Latif Al Rekabe,IRQ,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
656,Zidane Aamar Iqbal,IRQ,5.6,eliminated,MID,6,2,1,3,2,0,0,0,0,0
657,Ibrahim Bayesh Kamil Al Kaabawi,IRQ,5.6,eliminated,MID,7,2.3,2,2,3,0,0,0,0,0
659,Kaishu Sano,JPN,4.9,eliminated,MID,19,6.3,2,8,0,9,0,0,0,0
662,Yukinari Sugawara,JPN,4.4,eliminated,DEF,5,1.3,1,1,2,1,0,0,0,0
663,Tsuyoshi Watanabe,JPN,4.3,eliminated,DEF,2,1,1,0,1,0,0,0,0,0
665,Hiroki Ito,JPN,3.9,eliminated,DEF,13,3.3,1,9,2,1,0,0,0,0
666,Shogo Taniguchi,JPN,3.9,eliminated,DEF,2,0.7,1,0,0,1,0,0,0,0
667,Ayumu Seko,JPN,3.8,eliminated,DEF,3,1.5,0,1,2,0,0,0,0,0
668,Junnosuke Suzuki,JPN,3.5,eliminated,DEF,1,0.5,0,1,0,0,0,0,0,0
669,Junya Ito,JPN,5.0,eliminated,MID,15,3.8,1,11,1,2,0,0,0,0
670,Daizen Maeda,JPN,5.0,eliminated,MID,15,5,2,0,11,2,0,0,0,0
671,Keito Nakamura,JPN,5.5,eliminated,MID,22,5.5,10,8,2,2,0,0,0,0
672,Ayase Ueda,JPN,7.0,eliminated,FWD,24,6,2,18,2,2,0,0,0,0
673,Koki Ogawa,JPN,4.9,eliminated,FWD,6,2,4,0,1,1,0,0,0,0
675,Keisuke Goto,JPN,4.2,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
676,Kento Shiogai,JPN,4.0,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
677,Zion Suzuki,JPN,4.3,eliminated,GK,16,4,2,9,3,2,0,0,0,0
678,Keisuke Osako,JPN,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
679,Tomoki Hayakawa,JPN,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
