pair,code,web_name,archetype_name_from,archetype_name_to,changed,total_points_from,total_points_to
2024-25->2025-26,95658,Maguire,Defensive / rotation defender,Balanced defender,True,48,90
2024-25->2025-26,106611,Keane,Defensive / rotation defender,Balanced defender,True,48,131
2024-25->2025-26,111478,Veltman,Defensive / rotation defender,Defensive / rotation defender,False,59,46
2024-25->2025-26,149484,Mings,Defensive / rotation defender,Defensive / rotation defender,False,47,50
2024-25->2025-26,152551,Lerma,Defensive / rotation defender,Rotation midfielder,True,58,69
2024-25->2025-26,158534,Walker-Peters,Defensive / rotation defender,Defensive / rotation defender,False,54,53
2024-25->2025-26,167074,Tete,Defensive / rotation defender,Rotation midfielder,True,49,81
2024-25->2025-26,199796,Cash,Defensive / rotation defender,Attacking / ball-playing defender,True,76,117
2024-25->2025-26,200720,Kelleher,Defensive / rotation defender,Goalkeeper,True,45,143
2024-25->2025-26,200785,Adams,Defensive / rotation defender,Rotation midfielder,True,58,77
2024-25->2025-26,202993,Bentancur,Defensive / rotation defender,Rotation midfielder,True,49,86
2024-25->2025-26,207189,Berge,Defensive / rotation defender,Attacking / ball-playing defender,True,53,91
2024-25->2025-26,209365,De Ligt,Defensive / rotation defender,Rotation midfielder,True,68,43
2024-25->2025-26,212314,Lukić,Defensive / rotation defender,Rotation midfielder,True,56,67
2024-25->2025-26,214048,Kilman,Defensive / rotation defender,Defensive / rotation defender,False,82,36
2024-25->2025-26,220627,Justin,Defensive / rotation defender,Rotation midfielder,True,70,94
2024-25->2025-26,221466,Senesi,Defensive / rotation defender,Attacking / ball-playing defender,True,31,175
2024-25->2025-26,221632,Romero,Defensive / rotation defender,Balanced defender,True,49,91
2024-25->2025-26,221820,Martinez,Defensive / rotation defender,Balanced defender,True,68,51
2024-25->2025-26,231480,S.Bueno,Defensive / rotation defender,Attacking / ball-playing defender,True,52,92
2024-25->2025-26,232892,Bassey,Defensive / rotation defender,Attacking / ball-playing defender,True,75,103
2024-25->2025-26,244954,Pau,Defensive / rotation defender,Defensive / rotation defender,False,55,64
2024-25->2025-26,250199,Dominguez,Defensive / rotation defender,Rotation midfielder,True,54,48
2024-25->2025-26,444463,W.Fofana,Defensive / rotation defender,Balanced defender,True,26,65
2024-25->2025-26,444765,Van den Berg,Defensive / rotation defender,Attacking / ball-playing defender,True,62,113
2024-25->2025-26,449871,Onana,Defensive / rotation defender,Rotation midfielder,True,65,76
2024-25->2025-26,462116,Todibo,Defensive / rotation defender,Balanced defender,True,54,46
2024-25->2025-26,482609,Gusto,Defensive / rotation defender,Balanced defender,True,60,96
2024-25->2025-26,487053,Udogie,Defensive / rotation defender,Defensive / rotation defender,False,43,29
2024-25->2025-26,503714,Ugochukwu,Defensive / rotation defender,Balanced defender,True,47,97
2024-25->2025-26,508395,Yarmoliuk,Defensive / rotation defender,Attacking / ball-playing defender,True,43,104
2024-25->2025-26,509291,André,Defensive / rotation defender,Attacking / ball-playing defender,True,61,96
2024-25->2025-26,512462,O'Brien,Defensive / rotation defender,Balanced defender,True,65,116
2024-25->2025-26,516939,Agbadou,Defensive / rotation defender,Balanced defender,True,45,23
2024-25->2025-26,547701,Gray,Defensive / rotation defender,Rotation midfielder,True,45,61
2024-25->2025-26,550864,Yoro,Defensive / rotation defender,Defensive / rotation defender,False,22,56
