Understat_ID,FPL_ID,Understat_Name,FPL_Name
11317,703,Danilo,Danilo dos Santos de Oliveira
2243,729,Keylor Navas,Keylor Navas
7921,730,Felipe,Felipe Augusto de Almeida Monteiro
713,734,André Ayew,André Ayew
11298,692,Mislav Orsic,Mislav Orsic
11297,693,Carlos Alcaraz,Carlos Alcaraz
11359,716,James Bree,James Bree
9630,731,Kamaldeen Sulemana,Kamaldeen Sulemana
11360,732,Paul Onuachu,Paul Onuachu
8458,449,Harvey White,Harvey White
9021,450,Pape Sarr,Pape Matar Sarr
8066,713,Arnaut Danjuma Groeneveld,Arnaut Danjuma
6912,733,Pedro Porro,Pedro Porro
11242,669,Divin Mubama,Divin Mubama
7080,682,Matheus Cunha,Matheus Santos Carneiro Da Cunha
1299,698,Mario Lemina,Mario Lemina
2199,704,Pablo Sarabia,Pablo Sarabia
11384,721,João Gomes,João Victor Gomes da Silva
11269,677,Jack Hinshelwood,Jack Hinshelwood
10453,736,Odeluga Offiah,Odeluga Offiah
11544,762,Cameron Peupion,Cameron Peupion
584,578,Joel Robles,Joel Robles
8786,324,Stefan Ortega Moreno,Stefan Ortega Moreno
11594,773,Shea Charles,Shea Charles
11386,741,Lewis Miley,Lewis Miley
11582,769,Kamari Doyle,Kamari Doyle
11583,770,Dominic Ballard,Dominic Ballard
11618,778,Samuel Amo-Ameyaw,Samuel Amo-Ameyaw
11509,758,George Abbott,George Abbott
10579,764,Matthew Craig,Matthew Craig
11361,717,Daniel Bentley,Daniel Bentley
